#{"t_start": 1702938924.116235, "env_id": "BipedalWalker-v3"}
r,l,t
-109.650902,63,4.514157
-117.741881,1600,18.621182
-156.821336,533,83.896302
-108.209287,48,84.353714
-120.067287,104,97.744051
-122.164147,97,98.585491
-115.15,81,99.29489
-113.642731,69,99.902005
-117.239092,109,100.902898
-100.724527,91,101.736182
-115.608517,65,102.311404
-124.861071,1600,174.289942
-119.152323,1600,189.474488
-104.968563,1600,260.331838
-102.60362,1600,340.716122
-90.375811,1600,411.897406
-90.889729,1600,483.06647
-100.244461,79,491.506374
-107.052925,142,492.554497
-95.020165,1600,521.548195
-63.136309,1600,583.513122
-71.815278,1600,656.178605
-51.135157,1600,712.614455
-52.123072,1600,774.829165
-30.886577,1600,799.378951
-42.559808,1600,892.376872
-5.551324,1600,987.032159
14.706918,1600,1086.898035
-10.422339,1600,1176.81865
7.680879,1600,1197.961141
-116.521722,47,1198.745424
58.741447,1600,1284.276225
28.797668,1600,1390.088613
-112.735565,50,1390.605001
-2.433948,1600,1493.20813
-102.893787,89,1494.068553
30.170474,1600,1585.989791
51.154492,1600,1625.314014
61.961291,1600,1723.060934
59.907808,1600,1817.797307
69.892781,1600,1918.060814
92.653916,1600,1953.226203
-32.246166,1327,2041.966745
102.642593,1600,2127.236377
102.988456,1600,2219.300276
162.743867,1600,2251.732592
155.33429,1600,2349.522158
144.077437,1600,2452.171987
-68.629736,489,2464.836954
33.739632,1422,2535.653557
177.244333,1600,2632.048965
188.272662,1600,2671.204112
192.212638,1600,2756.478181
152.416452,1600,2869.314014
-75.399589,273,2871.664065
203.152044,1600,2965.977331
220.39275,1600,3060.241473
188.293567,1600,3094.116457
233.809073,1600,3191.613487
245.216429,1599,3289.260699
209.090626,1600,3383.924397
236.016771,1600,3454.634083
252.82342,1479,3480.069436
245.16206,1590,3547.526752
242.223557,1600,3613.163149
254.939158,1410,3676.614547
255.294961,1399,3706.346492
-36.020444,413,3709.888057
256.791548,1395,3805.401123
250.39105,1507,3893.430527
134.169304,1382,3984.562659
256.581291,1407,4013.971559
258.170168,1366,4086.068539
253.130393,1404,4175.265375
259.416199,1340,4203.698095
263.350886,1309,4298.678021
259.322307,1340,4383.989239
262.400784,1311,4412.15814
260.384632,1345,4504.755018
266.255587,1281,4525.221662
268.756371,1247,4618.01924
266.741876,1251,4711.798465
267.788074,1231,4729.746405
262.575645,1294,4815.811059
261.692834,1333,4896.266325
260.993357,1322,4921.774022
263.630261,1298,5012.04581
260.462277,1311,5031.027557
262.932783,1291,5115.034214
255.7542,1378,5198.572749
258.741358,1338,5224.704997
262.648633,1292,5300.078416
265.248595,1255,5381.092404
262.427885,1271,5398.932352
258.07203,1348,5480.446756
263.411213,1263,5563.943921
257.461968,1332,5590.002616
264.652099,1265,5665.19996
255.646851,1350,5754.856599
23.564134,679,5769.261717
263.16189,1275,5789.715009
262.565698,1290,5873.467627
261.06729,1301,5973.442498
259.967859,1296,5993.231703
258.432349,1338,6074.787275
257.239076,1339,6158.20848
95.722055,1161,6175.259004
262.128282,1282,6258.91449
258.228757,1319,6342.784933
257.538607,1340,6360.76879
260.11472,1300,6447.509578
262.874171,1283,6473.681552
259.979463,1283,6550.73911
255.944115,1344,6635.336564
256.527243,1337,6661.602176
259.855419,1290,6734.649045
254.262451,1322,6805.641872
256.329391,1310,6825.746104
257.113323,1306,6880.063399
255.044861,1321,6939.750342
259.136862,1302,6959.780106
259.485829,1279,7013.82251
251.931698,1368,7034.482248
104.899577,1101,7092.417201
259.220398,1281,7146.257772
258.745524,1310,7166.555009
