#{"t_start": 1702938924.1280985, "env_id": "BipedalWalker-v3"}
r,l,t
-110.462578,48,4.399754
-105.260433,74,4.920646
-123.180504,109,5.677607
-102.326844,82,6.248824
-112.399313,64,6.687644
-99.929952,76,7.204491
-103.334582,82,7.759547
-103.410572,82,8.330198
-105.316986,56,8.781898
-98.636296,95,9.582946
-114.712799,69,10.974837
-108.623975,1600,98.504881
-103.903436,99,99.38684
-110.986668,67,99.977546
-115.022318,56,100.453304
-102.919715,88,101.294208
-104.050685,59,101.828295
-107.510727,76,102.510952
-106.016419,60,103.019773
-99.819283,1600,174.997601
-100.909347,72,175.614685
-140.799933,595,181.464024
-103.834513,73,182.106048
-106.104114,1600,245.314127
-108.763986,1600,326.003633
-133.501772,376,337.357429
-107.690054,43,337.682307
-110.185913,75,338.266387
-105.232031,1600,409.359392
-150.512215,529,422.407982
-85.720127,1600,492.729373
-116.863685,68,493.336214
-71.570749,1600,569.911971
-113.9131,72,570.520276
-53.992989,1600,584.927981
-102.138763,72,585.52755
-61.637689,1600,658.207542
-56.955314,1600,714.63825
-41.606682,1600,776.814066
-102.202301,79,777.488675
-71.764718,1600,860.417957
-33.176944,1600,895.027437
-13.513673,1600,1000.632342
-34.082067,1600,1103.163627
-80.834141,1600,1183.111302
-2.847312,1600,1204.22118
6.607856,1600,1295.701826
-102.198264,85,1297.101748
-22.43805,1600,1407.937807
-17.168955,1600,1496.026148
37.322072,1600,1587.95751
51.730275,1600,1627.505525
77.681326,1600,1724.993671
77.507472,1600,1819.63237
48.605385,1600,1919.937236
76.304167,1600,2012.341974
65.596229,1600,2047.365919
98.402254,1600,2131.345806
-45.884322,1518,2222.708821
122.785106,1600,2314.241901
146.810274,1600,2353.084893
120.404677,1600,2456.614347
-122.252579,156,2465.346608
155.048433,1600,2545.399271
156.707392,1600,2647.657583
200.379051,1600,2737.913293
206.270758,1600,2767.835582
194.288081,1600,2871.455729
211.347127,1600,2965.762085
218.992818,1600,3060.026272
219.22493,1600,3093.899172
245.577904,1551,3190.971856
-85.536264,172,3192.462468
223.088414,1600,3290.102613
243.558032,1591,3384.723541
248.749788,1580,3455.233932
249.65744,1509,3480.972945
256.136173,1444,3547.132179
252.870777,1486,3611.77203
262.622002,1365,3634.753441
249.861588,1506,3705.490025
257.657658,1398,3792.469105
259.104961,1374,3880.641734
254.65481,1423,3907.839384
262.482444,1328,3999.471741
254.004225,1439,4080.804456
261.849921,1344,4101.04362
255.904123,1421,4189.397743
260.619128,1331,4285.766253
262.970487,1311,4313.761081
265.058455,1296,4398.550597
265.254994,1293,4490.821
265.779245,1286,4510.164337
265.826984,1276,4604.544706
261.561478,1293,4632.351941
102.985397,1000,4715.372311
-69.606027,207,4717.122196
265.624198,1283,4801.728077
265.811239,1247,4828.969118
-21.854696,476,4832.969839
261.318534,1326,4919.849215
264.826839,1293,5009.929371
262.695948,1301,5029.030505
134.966385,1180,5112.060133
257.57727,1365,5188.131589
263.810476,1306,5214.023116
258.793057,1314,5296.978078
265.030781,1267,5370.850615
264.514238,1258,5395.801077
257.409964,1346,5477.288595
256.748223,1342,5495.57218
258.832849,1345,5580.286146
261.310105,1297,5663.091753
262.76147,1270,5680.698713
-42.962623,326,5754.800006
262.326309,1292,5783.597766
265.423064,1256,5860.343719
261.066626,1288,5886.804052
258.174934,1338,5987.366678
255.057496,1389,6062.453672
-62.77125,325,6072.296288
265.690138,1207,6089.797122
259.037615,1303,6172.86759
262.900853,1268,6256.40637
145.427532,1215,6273.655218
254.206945,1311,6357.105286
256.498429,1361,6444.192501
266.197374,1206,6462.766679
263.699122,1220,6546.121462
-46.170534,431,6549.993704
259.854449,1316,6634.412089
257.113672,1320,6660.551805
259.384566,1296,6733.648454
256.226301,1318,6804.667479
252.517958,1371,6825.265471
263.763231,1241,6879.112882
253.603503,1361,6939.128408
255.839607,1311,6959.188353
259.829879,1280,7013.245156
244.753063,1474,7073.988088
-119.260575,80,7074.529018
46.183637,817,7085.851641
255.700626,1334,7145.349862
255.882068,1320,7165.722199
