#{"t_start": 1702938924.1230152, "env_id": "BipedalWalker-v3"}
r,l,t
-114.714361,58,4.47259
-129.161057,1600,18.573154
-101.550832,76,19.214581
-115.818315,60,19.715086
-110.191077,124,20.776503
-115.752565,58,21.282238
-106.026665,93,82.743199
-122.455351,1600,119.009561
-124.824003,1600,181.995832
-107.502087,1600,245.203138
-127.112752,1600,325.907297
-96.571835,1600,355.467573
-118.114546,99,363.850276
-214.159725,1257,425.172546
-103.421799,1600,495.614187
-57.978575,1600,572.024405
-66.158128,1600,586.457032
-50.491987,1600,659.134218
-51.270673,1600,715.540329
-112.492912,77,716.234314
-58.646278,1600,778.759044
-31.787028,1600,871.62398
-52.703283,1600,907.020511
-19.07511,1600,1001.517843
11.514583,1600,1104.22491
-32.706602,1600,1184.106416
-2.323236,1600,1205.839715
-24.696253,1600,1297.455074
25.247071,1600,1408.216985
15.377498,1600,1496.221282
36.072633,1600,1588.193974
22.1674,1600,1627.734252
46.349102,1600,1725.180203
85.475096,1600,1819.835683
35.01239,1600,1920.132387
-94.965357,1074,1950.737918
-5.777565,1600,2041.795467
94.050371,1600,2127.074352
126.273923,1600,2219.146314
113.207207,1600,2251.577944
39.643188,1464,2348.222724
88.094427,1600,2450.117788
151.115057,1600,2531.502063
136.755502,1600,2563.769683
161.815444,1600,2667.000486
194.961423,1600,2752.441116
195.728764,1600,2851.72414
-52.309872,500,2869.609879
199.463055,1600,2963.899582
184.383857,1600,3058.196349
230.080147,1600,3092.036078
242.015042,1600,3189.516215
236.438855,1600,3287.213604
240.871779,1600,3381.852071
247.562992,1548,3412.247484
249.223382,1564,3478.297587
252.544601,1482,3544.81068
239.053482,1600,3610.449242
257.603049,1414,3633.880068
260.266715,1385,3694.71733
251.660664,1487,3791.297512
259.464915,1358,3879.368654
255.95007,1402,3906.385285
253.972482,1439,3998.916403
263.715494,1327,4073.437026
263.332662,1311,4099.271086
256.287054,1412,4187.493851
261.709976,1329,4283.929923
247.837893,1484,4304.947535
261.92407,1318,4398.327788
263.394514,1305,4490.717896
261.80342,1353,4519.054094
264.235064,1299,4605.238563
260.132032,1338,4633.405003
256.336133,1357,4726.941992
263.419443,1302,4804.257612
262.758856,1292,4831.796422
262.274375,1294,4918.419387
255.959512,1409,5001.816654
270.199898,1215,5027.840622
259.600035,1341,5112.247059
259.109172,1339,5188.084708
-36.525619,410,5198.927732
262.96086,1279,5224.56615
259.727504,1344,5300.373774
259.497981,1297,5381.738085
270.320704,1177,5398.794864
111.557243,1012,5477.475906
260.996222,1323,5495.60156
261.898836,1300,5579.938796
261.285345,1320,5662.938236
266.132446,1239,5680.28598
259.848491,1314,5771.391756
-117.992518,68,5772.171202
258.839463,1339,5858.613731
270.510372,1179,5875.783211
263.103598,1271,5975.82929
40.602363,836,5991.403511
256.24044,1352,6073.115891
259.027607,1333,6156.48693
253.377742,1370,6175.279638
260.375014,1279,6258.91213
260.898402,1302,6342.640028
266.252153,1222,6359.630751
259.315104,1308,6446.363376
258.397426,1309,6472.836272
260.55336,1272,6549.721277
258.902396,1300,6633.998737
258.611894,1302,6652.598383
261.345467,1274,6732.919493
255.496841,1318,6804.039383
255.56184,1348,6824.486228
256.667448,1311,6878.806802
256.222598,1337,6899.23198
263.147753,1224,6952.968165
255.49359,1338,7012.546282
255.979041,1335,7032.977564
259.815786,1277,7092.215323
253.073804,1346,7146.527775
250.513957,1389,7167.406934
