#{"t_start": 1702938924.1271088, "env_id": "BipedalWalker-v3"}
r,l,t
-120.695555,1600,18.121796
-109.611501,1600,114.941277
-105.046399,86,115.680343
-122.272032,86,116.415428
-192.013944,975,173.325987
-106.92977,1600,188.507398
-127.363946,1600,259.274965
-108.903413,51,259.734008
-119.502616,1600,340.118827
-102.088692,1600,411.335737
-124.858101,131,412.482274
-114.463439,67,421.489346
-103.214206,1600,491.913333
-75.777266,1600,520.780116
-58.395152,1600,582.79529
-58.911301,1600,655.386242
-52.649179,1600,711.898861
-116.642854,71,712.49213
-51.287996,1600,774.705523
-58.043595,1600,799.24745
-108.278747,83,799.964862
-38.082208,1600,892.963588
-9.42546,1600,987.625303
-25.926032,1600,1087.758577
-7.270351,1600,1177.411023
25.653147,1600,1199.105201
-46.02751,1600,1284.635834
5.249274,1600,1390.330847
59.595786,1600,1492.960826
-104.520106,251,1495.301445
7.26326,1600,1587.166101
57.862152,1600,1626.581411
74.746819,1600,1724.235957
-94.578218,189,1725.968422
52.404079,1600,1820.584764
60.183256,1600,1920.91548
27.145419,1600,2013.275097
100.20166,1600,2048.299871
123.833323,1600,2132.305845
118.780591,1600,2232.858701
147.764386,1600,2327.365389
106.066889,1600,2366.189468
111.395241,1600,2465.654014
-6.458721,1209,2534.712166
180.012117,1600,2631.032945
186.522319,1600,2670.256228
170.114028,1600,2755.533567
207.448245,1600,2855.153537
219.115628,1600,2952.487005
191.842969,1600,3046.960397
208.441706,1600,3090.816991
247.654045,1532,3187.681671
229.898168,1600,3285.46731
225.336597,1600,3379.35127
247.495032,1564,3410.421576
250.964968,1494,3476.16325
257.127569,1432,3536.311141
252.049158,1496,3601.012119
257.481975,1409,3624.905505
252.505552,1493,3691.965047
256.622394,1416,3787.911594
254.548323,1451,3817.654168
259.972989,1385,3895.999719
42.988089,884,3919.256074
247.088144,1549,4013.436995
253.163415,1439,4086.227718
260.507188,1326,4174.691547
260.981443,1362,4203.331322
256.052637,1394,4299.070657
260.885288,1364,4384.680565
27.878541,721,4399.353482
264.777488,1298,4491.605173
262.946829,1305,4519.459653
260.029044,1354,4606.229549
47.052652,791,4621.118952
263.476887,1315,4715.383809
264.057858,1275,4799.920181
260.708455,1290,4819.777179
265.79106,1273,4906.168434
265.211988,1274,4932.46662
260.453093,1331,5015.613814
96.913732,996,5096.601113
267.689664,1245,5115.227158
254.241854,1384,5198.815521
256.370693,1381,5225.326153
257.051398,1365,5301.304625
261.686738,1290,5382.609356
266.568791,1247,5407.258365
259.059654,1329,5481.598734
263.267854,1268,5565.129521
261.471606,1311,5591.011575
255.901704,1351,5666.944504
262.609054,1289,5756.183424
264.276863,1254,5784.64113
263.501522,1274,5861.452794
262.386287,1295,5888.037433
260.139306,1316,5988.392552
264.979098,1261,6062.346944
43.550675,724,6075.563363
261.919553,1290,6158.560854
260.178556,1312,6184.510607
263.263839,1270,6260.440204
263.363542,1248,6343.703578
257.454658,1317,6361.504283
263.985953,1228,6447.643344
253.836083,1360,6474.450954
254.715361,1365,6558.765008
261.477744,1253,6636.036315
260.142654,1276,6661.802447
262.732781,1242,6734.432622
262.882346,1244,6804.837906
255.037343,1324,6825.06543
259.442966,1266,6879.096874
253.935486,1359,6939.099947
265.021071,1217,6958.404373
256.472309,1316,7012.782325
257.281135,1313,7033.049647
256.410617,1297,7092.425949
252.337883,1356,7146.823773
254.058439,1352,7167.428107
