#{"t_start": 1702938924.1167948, "env_id": "BipedalWalker-v3"}
r,l,t
-100.247741,70,4.570428
-129.321748,1600,18.677716
-118.893825,1600,115.53839
-118.937403,94,116.354639
-130.701197,1600,179.327447
-148.192378,776,186.755379
-104.413731,76,187.404569
-182.944176,1451,256.847357
-94.965713,1600,337.431589
-111.947627,51,337.814979
-97.005698,1600,408.844977
-112.145676,1600,439.111845
-78.518807,1600,508.792958
-72.471032,1600,578.377599
-73.229594,1600,650.748568
-60.151464,1600,707.610126
-23.137753,1600,721.752638
-45.77611,1600,784.005854
-62.573371,1600,876.809413
-29.32369,1600,971.615969
2.045715,1600,1006.805972
-27.954552,1600,1117.894904
-3.407824,1600,1191.985276
-3.84306,1600,1274.110032
17.051587,1600,1384.08773
36.905177,1600,1428.276896
11.245511,1600,1511.933809
31.82978,1600,1606.470828
37.802151,1600,1707.87171
-124.54373,126,1708.949837
59.093151,1600,1800.581015
102.194222,1600,1837.839171
91.953482,1600,1937.143046
94.528168,1600,2029.757465
76.862689,1600,2113.220753
135.16697,1600,2148.844954
119.765279,1600,2238.449176
122.53084,1600,2334.863211
160.573618,1600,2434.202243
159.475429,1600,2519.741409
166.936466,1600,2562.116108
203.219055,1600,2665.330102
206.731219,1600,2750.785103
208.628265,1600,2848.459952
209.510785,1600,2887.097169
207.039293,1600,2981.643429
238.564775,1600,3076.25734
218.228257,1600,3173.721038
247.76087,1565,3270.993459
232.108809,1600,3304.394095
241.959967,1600,3398.140318
244.626598,1573,3466.284519
255.216481,1430,3532.859889
255.105751,1422,3556.813128
253.143966,1481,3621.427449
39.60135,863,3634.133531
255.038148,1424,3695.304069
253.848571,1416,3791.277063
259.524068,1377,3879.512463
260.990539,1343,3906.02957
144.222875,1343,3989.220504
256.794226,1426,4073.165087
258.00653,1391,4099.641465
262.445214,1302,4186.905513
259.763105,1355,4208.247581
264.092376,1312,4303.053712
262.10258,1330,4396.558217
263.710714,1300,4424.390431
257.879355,1370,4509.00469
266.719438,1259,4603.175757
261.318971,1344,4631.474844
264.177921,1289,4716.963434
258.687726,1354,4802.1688
261.343592,1282,4829.693041
265.624104,1256,4908.207888
265.213763,1270,4998.187574
261.368695,1300,5024.970407
262.833398,1296,5100.917904
261.143945,1333,5127.758045
265.479227,1239,5210.08142
265.804406,1255,5285.428365
264.830745,1273,5310.434722
269.982509,1203,5383.816929
261.916907,1280,5408.74835
-83.23369,165,5466.15545
130.490923,1136,5490.042568
259.786107,1314,5566.75334
266.290924,1246,5592.102085
265.863948,1245,5667.149303
260.948403,1306,5756.665974
261.468878,1291,5785.531689
262.436449,1258,5861.984914
136.266556,1197,5887.695028
257.555102,1329,5988.182615
258.882686,1334,6062.770459
258.985179,1335,6088.44398
35.379468,728,6159.391397
252.58192,1415,6186.251022
-25.827175,547,6248.72205
256.838118,1336,6274.330604
258.616671,1307,6357.761161
260.177628,1296,6444.293106
261.75272,1270,6463.398111
259.279579,1296,6547.388334
254.690131,1344,6632.269376
258.456964,1298,6650.835477
261.562561,1267,6731.123535
-10.614232,518,6735.449089
265.657817,1204,6805.477971
259.541992,1284,6825.379286
251.030498,1356,6880.079909
254.854148,1325,6939.793981
251.112216,1386,6960.453419
85.454701,985,7012.298259
257.336533,1307,7032.527294
253.101982,1350,7092.303897
-57.669581,324,7094.658345
259.584765,1285,7153.89849
253.585384,1356,7169.283216
