#{"t_start": 1702938924.1199, "env_id": "BipedalWalker-v3"}
r,l,t
-105.516702,64,4.521869
-109.189784,55,4.90305
-102.109722,55,5.292158
-106.539449,60,5.705165
-108.797951,1600,20.060484
-107.607873,59,20.55958
-113.194837,63,21.112142
-115.626254,75,21.75103
-116.312608,60,82.933337
-117.189183,64,83.510263
-116.055175,59,84.084501
-119.20176,1600,120.320518
-113.963627,54,120.787196
-105.729757,1600,184.427293
-100.343035,109,185.344383
-101.848322,73,185.975323
-102.471524,101,186.844738
-101.769661,91,187.61977
-101.984285,55,188.087127
-126.436793,1600,258.830465
-101.454222,70,259.463862
-113.240779,1600,339.85072
-88.623101,1600,411.048398
-123.432086,1600,482.280925
-90.584537,1600,511.141834
-83.007459,1600,580.492651
-56.31304,1600,653.031097
-59.530927,1600,709.985908
-36.703154,1600,724.230165
-120.627518,99,725.060212
-30.626368,1600,797.526258
-99.198136,75,798.15224
-45.152277,1600,891.149832
-18.062533,1600,985.829328
-73.892608,1600,1085.595253
1.828677,1600,1121.532985
12.708866,1600,1196.291235
30.286924,1600,1281.157146
31.946755,1600,1387.976681
8.583083,1600,1485.719599
52.251061,1600,1516.148298
42.475581,1600,1610.169955
74.682602,1600,1711.520699
82.897723,1600,1803.212762
82.889917,1600,1840.387046
87.683714,1600,1950.440201
87.361811,1600,2041.498037
53.990432,1600,2126.783711
61.662116,1600,2218.848071
-118.849389,85,2219.564241
153.510559,1600,2252.005978
153.243299,1600,2349.803216
-95.818208,174,2351.293844
160.678323,1600,2454.80639
167.125802,1600,2534.727093
162.535753,1600,2631.04812
-13.780016,766,2651.528454
-25.728382,952,2671.318907
168.126712,1600,2756.600638
202.414297,1600,2869.421587
205.126073,1600,2963.709191
211.992536,1600,3057.998174
239.571619,1600,3091.847193
222.677031,1600,3189.318561
239.173732,1600,3287.015698
245.54044,1595,3381.612502
227.322609,1600,3412.460124
254.403971,1464,3477.662852
253.728846,1453,3543.917735
247.417825,1549,3609.13474
257.575491,1371,3626.887209
256.290922,1411,3693.235956
254.890616,1423,3789.20865
258.195663,1374,3818.34146
253.677362,1442,3904.877232
253.603696,1477,3989.16884
80.918119,999,4015.009363
256.510432,1400,4095.872244
260.709041,1365,4176.237019
251.029041,1428,4205.596568
261.894778,1319,4300.541285
262.56593,1318,4394.080267
258.580656,1401,4414.612881
259.579078,1363,4507.302532
264.664578,1291,4601.416673
139.324891,1231,4620.539966
263.505429,1307,4714.768561
259.614489,1332,4799.78176
267.585893,1240,4819.211391
258.866638,1339,4906.163321
260.640981,1326,4932.921423
260.566906,1316,5015.925961
262.741992,1283,5099.356352
266.142614,1263,5125.448276
264.476681,1281,5200.846009
257.593158,1347,5284.442988
264.179298,1258,5309.3254
261.801675,1311,5383.606846
262.611802,1280,5408.539084
266.601036,1233,5482.071467
265.58214,1238,5565.341827
266.056793,1240,5590.633088
259.371931,1282,5665.989253
257.570991,1357,5755.730355
263.919986,1267,5784.287678
264.566519,1255,5860.99896
256.230741,1358,5888.142494
257.505397,1324,5988.580446
259.102404,1329,6063.075577
262.823944,1263,6088.134482
262.492585,1255,6170.821832
259.799213,1308,6247.328746
265.515679,1247,6272.202522
262.624118,1270,6355.342368
255.628799,1356,6434.174277
255.747106,1346,6462.129517
256.372138,1327,6546.37749
262.0611,1289,6564.121192
263.689945,1230,6648.750253
260.876272,1264,6729.014461
254.548464,1364,6747.438621
259.772855,1279,6815.724787
259.03955,1277,6874.932035
254.816495,1359,6890.251315
258.717247,1302,6949.784473
257.546386,1309,7009.294984
252.400366,1349,7024.542071
255.377892,1333,7084.074088
258.644175,1279,7104.006546
258.953099,1281,7158.083277
