#{"t_start": 1702938924.1134248, "env_id": "BipedalWalker-v3"}
r,l,t
-111.685262,1600,18.114299
-105.185251,77,18.746742
-132.501464,1600,115.611842
-188.681799,1035,173.034389
-111.44409,44,173.423607
-121.772644,80,174.090447
-108.276159,72,174.702635
-219.409082,1353,187.78428
-182.672344,1025,245.35614
-112.656231,1600,326.047392
-104.287734,63,326.530227
-98.563893,118,335.78848
-96.21886,1600,406.556922
-102.653341,1600,436.796944
-107.418277,1600,506.526062
-96.093951,1600,576.222281
-54.943322,1600,648.48485
-105.735209,75,649.1291
-66.476746,1600,664.250992
-37.042304,1600,720.239288
-50.205868,1600,782.515856
-45.726946,1600,875.327732
-23.397728,1600,970.091639
-13.575856,1600,1005.283579
-5.703863,1600,1108.172125
7.142539,1600,1188.696815
-39.446786,1600,1270.678166
24.4764,1600,1302.809618
43.142104,1600,1413.638799
-9.15199,1600,1510.37645
30.652649,1600,1604.732786
63.37087,1600,1706.396977
82.343333,1600,1739.822767
38.666584,1600,1835.165994
84.651544,1600,1934.545475
27.334562,1600,2027.152445
88.937645,1600,2110.665696
85.139897,1600,2146.263738
140.811904,1600,2235.852515
71.344698,1600,2330.628942
142.128515,1600,2431.159069
152.528253,1600,2468.780281
174.927053,1600,2548.652045
185.004567,1600,2651.32395
159.608424,1600,2741.270296
207.420099,1600,2834.362508
192.629162,1600,2874.792155
-104.661637,81,2875.499334
243.712861,1582,2969.655831
205.53081,1600,3074.120015
229.006244,1600,3171.698972
231.146282,1600,3205.031435
245.29604,1567,3302.345115
248.708059,1519,3395.374765
239.769283,1600,3463.843663
230.815338,1600,3531.909793
257.510655,1433,3555.96386
253.039871,1472,3614.495387
258.342829,1410,3677.924892
258.50665,1415,3707.748677
262.482922,1335,3802.562372
263.449501,1324,3881.899206
-61.519882,239,3891.332358
262.05529,1324,3910.365143
254.861713,1437,4002.989677
253.08548,1450,4084.387095
261.403085,1353,4113.019871
251.188802,1505,4202.867625
258.507769,1374,4298.530162
263.300218,1319,4383.68252
252.431977,1469,4413.251035
261.068921,1326,4505.640354
266.045318,1261,4590.79437
258.891543,1362,4619.736758
260.393355,1348,4714.332866
266.062296,1278,4740.305122
266.809415,1280,4818.645783
264.644921,1272,4905.043263
263.605206,1298,4923.850571
254.506211,1399,5015.256447
33.964281,705,5028.807069
255.289303,1338,5113.219691
262.460851,1293,5196.016835
262.604266,1305,5214.533426
-37.700268,407,5225.33261
264.692227,1268,5300.487937
42.590187,709,5313.637102
262.763644,1278,5394.81066
268.341413,1216,5468.058267
260.545487,1312,5493.265233
260.383539,1302,5577.612747
122.524472,1107,5594.221019
-37.439586,395,5662.135252
262.325325,1273,5679.726773
261.855653,1282,5770.597729
0.608164,701,5786.150647
263.556891,1260,5862.529342
266.61347,1248,5888.770966
256.3819,1352,5989.433804
260.69451,1303,6063.663835
261.864418,1302,6089.088925
257.035294,1355,6172.586475
262.007612,1276,6256.19964
260.994328,1311,6274.249235
264.420598,1261,6357.28932
259.983819,1278,6435.570287
255.511843,1346,6463.417284
252.137288,1390,6548.402909
262.367623,1274,6632.496364
260.599575,1269,6650.813229
262.535288,1248,6730.935208
257.506486,1314,6748.934284
255.803902,1362,6817.649365
262.085997,1253,6876.689939
258.332475,1319,6897.067341
107.055647,1097,6949.705097
261.001992,1276,7009.006679
-113.827617,59,7009.406351
-7.294158,526,7013.246344
257.779001,1285,7033.3001
259.404439,1302,7092.701905
251.078171,1387,7147.345434
257.762921,1314,7167.668951
