#{"t_start": 1702938924.11408, "env_id": "BipedalWalker-v3"}
r,l,t
-104.660741,71,4.580341
-237.260046,1544,18.253346
-108.190926,99,19.05375
-109.339187,1600,115.934056
-125.788452,1600,178.891349
-118.066772,81,179.601836
-102.77715,1600,242.841424
-105.061829,79,243.53232
-116.575218,1600,324.193056
-127.114932,1600,353.829888
-182.062174,721,409.527121
-99.541254,1600,439.854517
-94.694986,1600,509.48125
-102.868472,1600,579.03696
-75.494402,1600,651.536681
-58.13683,1600,708.254007
-103.453376,64,708.788435
-51.929969,1600,723.016274
-47.133653,1600,785.214246
-32.689016,1600,888.761459
5.986739,1600,983.466676
-13.919496,1600,1082.956771
-28.803091,1600,1119.07622
-111.908931,43,1119.449311
30.869919,1600,1194.036447
-110.568281,45,1194.469859
8.693029,1600,1277.927627
-13.597396,1600,1386.213563
21.384075,1600,1430.489112
55.732708,1600,1513.992897
-119.304555,90,1515.119003
26.608915,1600,1609.289738
56.934705,1600,1710.617131
75.437937,1600,1802.316223
44.049978,1600,1839.498298
91.31609,1600,1938.777355
100.19478,1600,2031.418642
115.929287,1600,2114.848459
74.148713,1600,2217.961398
165.012469,1600,2250.409781
-91.959551,1043,2329.814902
-63.849285,744,2349.782976
107.293096,1600,2452.622993
166.616335,1600,2533.180328
159.588029,1600,2629.441028
197.184974,1600,2668.598054
164.430508,1600,2754.034942
215.991316,1600,2853.524188
-73.661236,265,2869.182959
204.87855,1600,2963.455047
217.184224,1600,3057.752088
212.853595,1600,3091.601072
222.303821,1600,3189.066678
239.719691,1600,3286.761433
248.399866,1543,3380.908626
243.151882,1600,3411.754715
251.001196,1511,3477.375559
249.326479,1539,3544.362748
253.353375,1483,3609.0213
260.725809,1360,3626.662566
253.149491,1475,3693.572673
251.528674,1470,3789.979501
257.902567,1412,3819.411482
254.079696,1409,3905.640968
259.048968,1404,3997.839716
259.93334,1339,4018.129395
255.465747,1406,4099.119595
260.185488,1364,4186.950022
257.842847,1385,4283.870485
251.507817,1446,4304.545839
258.788817,1359,4398.283925
261.711616,1338,4490.956892
260.637882,1320,4519.014125
256.094614,1414,4606.22791
264.980065,1272,4633.78603
260.889739,1333,4727.105878
261.508333,1327,4804.66344
-55.639294,305,4816.045902
266.808451,1241,4895.693596
260.203186,1303,4921.032968
256.307282,1357,5011.780732
263.539711,1296,5030.679359
257.720954,1328,5114.993479
258.820063,1333,5198.157315
57.612369,913,5213.316105
267.12944,1240,5295.686668
260.937558,1309,5313.836658
261.543179,1338,5395.527189
97.688794,1022,5467.140842
-71.131245,221,5476.140642
266.638243,1222,5493.440405
262.291639,1296,5577.737861
1.569866,499,5581.947087
267.621234,1211,5663.992407
267.929817,1222,5688.374709
259.722202,1315,5772.617194
262.189661,1298,5858.629968
255.66311,1377,5885.813328
263.351422,1286,5977.767719
262.70702,1289,6060.238698
260.92475,1278,6085.355152
265.716362,1218,6160.493204
256.525957,1366,6186.960424
258.967158,1298,6270.106039
258.864215,1303,6346.904247
256.244282,1330,6371.846014
259.996347,1282,6459.511201
259.692583,1303,6536.273899
257.284903,1329,6561.640696
259.06116,1276,6646.670802
254.586026,1351,6720.683999
259.712162,1292,6745.490818
259.799143,1311,6814.268602
254.3917,1334,6868.741573
2.488258,639,6878.638382
-23.546314,481,6887.341213
254.430458,1365,6947.465832
258.821565,1295,6962.220357
254.554586,1340,7022.006052
258.539161,1315,7081.459908
17.004313,641,7086.227865
-96.388157,158,7092.652535
250.588799,1380,7147.239698
253.361658,1314,7167.565245
