#{"t_start": 1702938924.1298726, "env_id": "BipedalWalker-v3"}
r,l,t
-106.956095,1600,18.125386
-101.761462,73,18.694954
-105.81466,67,19.262711
-100.676156,106,20.150892
-108.69407,1600,117.059577
-107.139997,35,117.365978
-123.64582,1600,180.339984
-102.742374,76,181.008267
-101.31178,77,181.67871
-98.327702,1600,244.874352
-127.743918,1600,325.614193
-104.495059,1600,355.161737
-99.132961,76,355.804766
-155.704998,757,411.949076
-92.961504,1600,483.116509
-99.262273,64,491.434994
-78.185029,1600,520.203564
-112.032755,46,520.602268
-77.766085,1600,582.619042
-119.312845,71,583.226709
-54.129813,1600,655.866747
-100.329178,66,656.462584
-60.350758,1600,712.888141
-37.272391,1600,775.096456
-22.859928,1600,799.645643
-40.995018,1600,892.651314
-103.799207,1217,984.056363
-63.582633,1600,1083.613119
-20.207991,1600,1119.692119
-90.841419,530,1178.526357
19.935166,1600,1202.219858
-18.359562,1600,1293.499609
37.823737,1600,1405.245672
28.819651,1600,1493.975965
22.573663,1600,1527.842453
68.037983,1600,1625.245619
92.454457,1600,1723.005657
43.279441,1600,1817.731136
43.122255,1600,1917.994419
98.584055,1600,1953.159467
83.138495,1600,2045.46428
102.857044,1600,2129.46135
118.492165,1600,2221.527799
146.638546,1600,2313.049304
139.806972,1600,2351.796191
128.877723,1600,2455.278976
165.806151,1600,2535.248157
188.61321,1600,2631.606232
183.648348,1600,2670.804464
-21.428324,656,2741.032833
-86.607705,188,2742.666222
147.805391,1600,2846.134488
98.124386,1497,2875.305369
188.069427,1600,2969.610724
206.52342,1600,3074.081595
231.828424,1600,3171.661647
34.12794,1097,3190.90393
229.003363,1600,3288.575543
245.012559,1567,3382.922617
246.015506,1581,3453.507236
252.479309,1487,3478.992807
248.838806,1528,3545.918429
250.078404,1508,3610.750933
256.0619,1401,3634.070102
256.107775,1427,3695.26248
255.754082,1415,3791.218339
260.675003,1366,3879.373204
259.91091,1359,3906.023316
259.715145,1389,3998.111018
255.106489,1414,4073.394199
259.496908,1354,4099.600259
256.914505,1396,4187.68965
258.436961,1362,4284.360812
262.831922,1334,4304.128782
262.153732,1331,4397.599259
258.681488,1363,4490.496252
260.858637,1342,4510.345625
263.511171,1313,4605.043474
261.255211,1335,4633.191969
264.793261,1282,4726.111404
262.205685,1297,4803.344723
262.89717,1289,4830.900945
91.355623,948,4906.806832
265.798467,1266,4933.064804
268.577478,1216,5015.203118
257.870759,1360,5099.299385
265.133832,1255,5125.308164
263.659088,1280,5200.707834
265.559607,1267,5283.643375
256.427671,1343,5309.235281
259.858566,1347,5383.817655
265.874843,1232,5408.348866
262.6682,1254,5482.054851
254.920528,1396,5566.644359
-79.444403,184,5568.227228
265.050301,1255,5593.610085
258.462309,1344,5676.414471
260.717686,1312,5759.50704
260.550067,1293,5788.112558
252.357281,1416,5872.941146
-54.144827,272,5875.208438
263.585332,1278,5975.299513
259.851665,1307,6002.054791
262.445169,1283,6075.994398
261.010513,1288,6158.975321
265.350615,1236,6184.276132
262.205416,1283,6260.314045
252.80206,1400,6344.95334
260.104375,1269,6369.42526
256.375623,1319,6449.276388
250.024102,1403,6534.979916
262.649468,1261,6559.769858
259.401548,1295,6637.401599
255.318333,1341,6663.699957
257.364747,1319,6743.933196
258.873372,1304,6807.570299
259.132633,1280,6827.51272
259.529296,1265,6886.59147
262.36142,1262,6940.690159
251.67838,1367,6961.23415
55.115315,865,7012.183161
255.023674,1343,7032.684623
257.097395,1304,7092.125533
260.140039,1283,7145.969855
254.695463,1358,7166.618598
