#{"t_start": 1702938924.123519, "env_id": "BipedalWalker-v3"}
r,l,t
-109.783898,63,4.510931
-126.356667,87,5.128207
-105.67611,51,5.475885
-108.097465,65,5.924572
-118.247862,71,6.418009
-113.267923,1600,20.941272
-99.969544,127,82.690784
-118.499818,59,83.207417
-120.294406,114,84.282562
-102.441892,55,84.791396
-103.65695,53,97.699264
-99.096208,75,98.356677
-113.508646,95,99.190155
-123.327101,1600,171.411783
-177.591038,740,178.38481
-115.604262,85,179.110374
-123.273532,100,179.978983
-103.280327,103,180.894006
-110.021158,39,181.228249
-107.852398,63,181.777836
-119.444736,68,182.383265
-108.08987,80,183.090234
-106.973225,58,183.602822
-107.252765,1600,255.264338
-130.422386,1600,335.615808
-109.656519,56,336.149811
-121.075583,1600,406.871157
-90.685683,1600,437.132588
-104.729872,82,437.891443
-95.587977,1600,507.647782
-75.884025,1600,577.281289
-73.772715,1600,649.523068
-46.502667,1600,664.66118
-35.279066,1600,720.62624
-105.706601,63,721.198863
-35.322271,1600,783.441578
-40.752901,1600,876.25469
-22.558986,1600,971.044719
-103.636124,82,971.761474
-29.731498,1600,1006.944641
-7.809586,1600,1118.01114
22.372313,1600,1192.157501
-27.59719,1600,1274.37246
8.618616,1600,1384.249874
17.424245,1600,1428.423238
52.524739,1600,1512.079276
40.695949,1600,1606.61757
15.573419,1600,1708.009499
59.465999,1600,1741.97194
90.813608,1600,1836.870233
-160.645954,1543,1935.730846
1.172468,1600,2028.312874
77.490848,1600,2111.799708
123.214469,1600,2147.390104
136.007507,1600,2237.020618
137.618992,1600,2332.872804
-6.125372,1201,2427.673595
152.580346,1600,2466.445754
-1.360334,1131,2534.802696
197.761375,1600,2631.135253
194.40319,1600,2670.349863
179.047131,1600,2755.62941
-88.353079,195,2766.544956
217.184005,1600,2870.143873
206.940663,1600,2964.465645
32.546647,1096,2983.814847
242.444646,1600,3078.470077
228.71588,1600,3175.949765
228.890894,1600,3273.555864
246.504679,1563,3306.553811
228.033442,1600,3400.376187
247.929515,1510,3467.938741
242.32658,1600,3535.896686
250.707593,1506,3600.690542
254.858554,1451,3624.945004
255.731513,1415,3691.242646
255.403936,1437,3787.439886
255.187071,1428,3816.988924
260.160494,1343,3895.010328
254.585508,1426,3986.591021
252.789666,1433,4016.206778
260.285632,1333,4096.455455
261.279111,1327,4176.501799
261.048476,1343,4205.109214
254.65834,1433,4301.123922
257.763561,1388,4395.161228
263.555983,1323,4415.059642
257.910827,1380,4507.899813
259.890997,1369,4603.021409
77.482857,887,4618.821422
262.545575,1295,4712.947871
264.149456,1272,4731.225243
264.196028,1268,4817.123695
262.669709,1318,4903.960199
259.095113,1324,4922.962381
258.257833,1349,5013.749943
265.690748,1270,5097.264305
256.197791,1361,5116.864107
260.150198,1318,5199.912213
260.974098,1313,5283.247223
265.637074,1262,5300.940449
110.956885,1121,5380.83746
138.301444,1159,5397.727557
262.667895,1286,5478.719998
269.034658,1208,5503.240978
256.352174,1360,5580.722384
263.247351,1278,5663.361588
255.423591,1362,5688.910909
262.710067,1268,5772.785168
264.092304,1275,5858.579909
264.626863,1254,5876.405467
256.098019,1346,5977.170584
-27.19509,421,5989.053409
268.311767,1231,6062.707328
250.328159,1384,6088.798697
263.613238,1258,6171.495735
257.688938,1332,6248.209789
259.850646,1313,6273.642854
256.402389,1298,6356.990022
259.581591,1288,6435.32175
261.819694,1265,6462.53614
-2.433261,578,6474.535855
259.958277,1278,6551.550583
256.535036,1332,6636.048415
257.387303,1300,6662.013604
260.275766,1283,6734.984814
121.547526,1141,6804.539303
261.911202,1266,6824.404497
257.949473,1300,6878.64269
261.019989,1264,6898.532822
256.076199,1310,6952.900015
254.078266,1329,7012.410743
63.907626,1025,7025.323753
262.662239,1257,7084.291412
262.469739,1250,7104.013467
259.867876,1282,7158.097404
