#{"t_start": 1702938924.1172981, "env_id": "BipedalWalker-v3"}
r,l,t
-98.905863,66,4.53885
-101.880011,77,5.07449
-104.933232,53,5.445179
-112.152551,52,5.805683
-104.433788,68,6.279562
-115.849682,1600,20.755013
-120.436475,65,21.328983
-105.502886,1600,118.24046
-125.201514,1600,181.222307
-138.380499,416,185.514794
-102.082696,1600,256.328735
-118.498512,74,256.882154
-105.988615,1600,337.463212
-112.279021,57,337.890679
-96.544521,1600,408.932702
-185.822583,1206,435.748754
-94.008535,1600,505.499664
-78.642458,1600,575.101528
-109.039484,89,575.851698
-66.952232,1600,648.10829
-72.320182,1600,663.221672
-48.393547,1600,719.244896
-51.33895,1600,781.511886
-45.522374,1600,874.326388
-45.64858,1600,969.090681
-18.706072,1600,1004.288781
-44.068606,1600,1107.136096
-111.914933,1080,1182.301109
-7.561241,1600,1202.760645
7.355966,1600,1294.159149
-5.796729,1600,1405.754716
28.850832,1600,1494.451789
25.931477,1600,1586.315141
-59.659475,1600,1625.646877
84.045506,1600,1723.364664
42.701659,1600,1818.108808
-117.421791,111,1819.063271
81.432986,1600,1919.336543
90.669397,1600,1954.467772
119.958179,1600,2046.782932
-55.7339,813,2113.070828
127.726624,1600,2148.671825
105.507099,1600,2238.291612
33.897914,1600,2334.712604
171.102854,1600,2434.05202
145.586788,1600,2519.583816
167.989506,1600,2561.955959
170.596533,1600,2665.179619
-53.005047,495,2669.436508
204.184197,1600,2754.873233
195.874069,1600,2854.339047
-72.565853,300,2870.313301
189.507067,1600,2964.636337
203.819753,1600,3058.907041
246.144146,1592,3092.682422
226.165859,1600,3190.145901
251.309703,1520,3287.159876
246.954185,1559,3381.439647
247.063871,1552,3411.862284
252.769415,1499,3477.383436
250.215505,1479,3543.85944
255.377434,1441,3602.253165
258.446423,1374,3625.894733
263.771429,1344,3691.604831
257.165098,1420,3787.627292
256.716774,1383,3816.78286
252.236716,1481,3895.956261
261.878884,1339,3986.811591
258.067923,1371,4015.893591
257.986973,1361,4096.384114
104.262295,1309,4176.281403
262.945239,1328,4204.697629
259.309653,1360,4300.043983
261.998061,1309,4385.136316
262.834295,1305,4413.230966
264.419424,1269,4505.128026
264.633243,1292,4590.558289
257.345522,1397,4619.800737
261.791494,1309,4714.03749
265.379753,1270,4732.287057
264.00232,1304,4818.501647
266.756793,1250,4904.723882
266.449925,1233,4922.963985
256.775605,1368,5013.920667
261.311689,1326,5097.900934
263.893965,1285,5116.857954
265.969367,1274,5199.531404
263.806058,1274,5225.121629
261.98088,1287,5300.451678
257.270666,1375,5382.475984
256.318892,1338,5407.891679
265.539823,1256,5481.62502
265.056653,1279,5565.243358
258.85306,1351,5591.45874
-79.568855,161,5592.808994
263.442562,1271,5674.998627
260.227776,1296,5757.882085
263.766854,1259,5786.221794
262.571885,1294,5870.109483
266.816426,1216,5960.792157
258.812916,1304,5989.090734
264.28944,1240,6062.810892
262.431739,1292,6088.110255
261.650089,1272,6170.9404
263.391336,1284,6247.238221
255.544848,1331,6272.830855
256.705391,1332,6356.47753
249.165229,1433,6444.16576
253.161097,1361,6464.057796
263.121023,1253,6547.744087
261.564249,1266,6624.354128
256.846547,1320,6650.635291
-108.03575,101,6651.492369
264.589782,1236,6731.522791
-26.964198,452,6735.28896
252.684145,1378,6806.630537
262.491182,1237,6826.237338
256.05795,1331,6885.86466
247.515391,1413,6941.034124
257.208806,1308,6961.142693
246.877579,1428,7021.543555
253.186844,1349,7081.306047
256.165282,1323,7096.32993
255.592158,1324,7155.918795
