#{"t_start": 1702938924.1214058, "env_id": "BipedalWalker-v3"}
r,l,t
-118.995349,69,4.558939
-103.620335,53,4.923348
-108.316733,93,5.572033
-114.288618,61,5.99909
-121.124135,1600,20.412357
-106.096748,67,20.990459
-120.664211,84,21.717486
-104.770075,54,82.849486
-110.461041,1600,119.128177
-100.71319,56,119.611187
-112.642845,40,119.965228
-104.161517,109,120.947497
-112.613442,47,129.647319
-116.766121,1600,184.972304
-224.39101,1532,255.366397
-118.998482,1600,335.758247
-109.989428,43,336.162491
-112.416888,93,336.930995
-106.76855,1600,407.714502
-126.993273,97,408.647023
-103.710106,76,409.346268
-108.981519,1600,439.653986
-104.342079,82,440.441818
-103.808636,64,481.880147
-75.090634,1600,510.685342
-46.539512,1600,580.084207
-99.922101,87,580.841518
-53.315632,1600,653.718787
-47.245961,1600,710.328429
-60.778648,1600,724.568006
-59.565954,1600,797.025127
-52.54367,1600,890.00642
-0.384077,1600,984.70387
-21.717318,1600,1084.401964
-14.715107,1600,1120.343145
-0.431828,1600,1195.024255
25.635011,1600,1278.922852
-15.721459,1600,1386.734746
41.946685,1600,1431.324463
87.725481,1600,1514.63052
60.757572,1600,1609.011047
52.342927,1600,1710.347485
65.462219,1600,1802.029125
72.748213,1600,1839.236181
99.21524,1600,1938.522516
-119.191026,68,1939.089739
85.393639,1600,2031.74705
112.873134,1600,2126.227113
111.613032,1600,2218.296796
138.661692,1600,2250.72881
105.505303,1600,2348.525794
156.894855,1600,2450.6686
-44.003798,681,2465.36056
150.078674,1600,2545.413109
147.28071,1600,2647.679544
173.776438,1600,2737.927845
210.251711,1600,2767.857279
203.387648,1600,2871.470741
202.327139,1600,2965.783251
210.346015,1600,3060.047543
196.422086,1600,3093.913691
232.249465,1600,3191.41727
236.368277,1600,3289.081029
227.883625,1600,3383.712049
245.397699,1591,3454.365376
244.495255,1600,3480.880785
252.356788,1473,3547.297904
249.537031,1522,3612.264666
77.537452,994,3626.757458
-5.953806,634,3677.594845
256.243832,1403,3707.333485
248.22713,1531,3803.99074
256.791822,1400,3891.202803
253.513639,1437,3919.142799
259.313241,1344,4003.041692
252.151716,1451,4084.447509
257.055147,1381,4173.385849
260.352645,1329,4201.511218
258.536924,1393,4289.31531
258.073031,1364,4317.874129
259.124258,1339,4411.394017
257.041304,1386,4504.342774
-115.239805,53,4504.818463
259.559455,1383,4591.015719
265.897565,1269,4619.165007
260.35935,1340,4713.652495
98.579525,1033,4729.926393
264.530482,1283,4815.907703
18.407291,701,4829.64704
264.72444,1274,4908.322981
261.663968,1335,4998.841994
263.679852,1300,5025.624624
260.186363,1307,5101.664763
260.620387,1313,5128.348042
87.564433,1071,5201.785493
262.044178,1281,5284.816081
260.143304,1303,5310.074145
266.58866,1232,5383.696877
261.393827,1278,5408.612085
263.594836,1282,5489.741705
258.525574,1330,5566.590504
266.505271,1232,5591.823042
264.388671,1255,5666.946221
140.631901,1197,5755.329401
261.06376,1319,5784.352937
262.703867,1300,5861.440854
260.922,1313,5888.208933
257.397074,1362,5988.971155
266.093751,1201,6062.376421
259.104868,1335,6088.034055
259.419514,1316,6171.240784
261.671479,1295,6247.651768
256.640319,1332,6273.234207
264.323676,1250,6356.191304
259.730684,1289,6434.496349
255.41631,1328,6462.270896
264.461253,1237,6545.768743
133.205804,1287,6563.491859
262.056356,1259,6648.358319
264.622601,1247,6721.496437
259.39008,1289,6746.269041
259.767713,1297,6814.842097
-22.039185,463,6818.281138
263.035079,1267,6877.412331
254.67837,1325,6897.780417
9.92737,697,6947.554234
260.46094,1289,6962.270843
254.133882,1322,7021.909379
262.402216,1244,7075.558969
260.575788,1252,7095.365475
263.554625,1241,7154.247679
260.693303,1275,7169.054998
