#{"t_start": 1702938924.119392, "env_id": "BipedalWalker-v3"}
r,l,t
-114.375949,1600,18.117568
-106.670453,72,18.691063
-111.771975,67,19.259113
-116.204545,1600,116.137919
-182.655525,930,172.670346
-102.358952,73,173.280435
-137.064303,174,174.774795
-101.452995,82,175.487575
-103.888216,85,176.248238
-114.843155,67,177.486373
-109.754264,60,177.997948
-110.533528,45,178.384991
-102.440891,65,178.937459
-104.10772,1600,242.196968
-100.934408,84,242.919274
-104.507416,73,243.553355
-122.890443,1600,324.220258
-103.104529,100,325.160483
-112.610982,58,325.632623
-117.895228,1600,355.186433
-73.874461,1600,426.981337
-84.642295,1600,497.558815
-76.921616,1600,573.800936
-114.960889,65,574.810284
-89.725202,1600,647.052124
-53.217482,1600,662.116577
-105.474151,70,662.740253
-57.433483,1600,718.763651
-36.496027,1600,781.060096
-45.512846,1600,873.86689
-33.32963,1600,909.373558
20.997849,1600,1003.813869
2.37382,1600,1106.652561
30.911315,1600,1186.9097
-104.045515,68,1187.64247
21.66229,1600,1269.106938
18.349694,1600,1301.746273
-13.71127,1600,1412.452631
37.34324,1600,1499.215729
-119.958479,80,1499.940661
5.56017,1600,1604.512779
18.692735,1600,1706.188427
-105.421109,90,1706.947217
27.619159,1600,1740.414466
61.358694,1600,1835.737047
47.805133,1600,1935.125389
-109.513172,51,1935.574393
63.807126,1600,2028.155819
-0.164333,1600,2111.652533
-86.732257,387,2125.961723
47.8093,1600,2218.040822
138.943457,1600,2250.479777
104.365519,1600,2348.277102
165.884452,1600,2450.22033
161.565556,1600,2531.551912
176.835134,1600,2563.830935
202.953787,1600,2667.061851
177.3018,1600,2752.497624
212.61283,1600,2851.826242
216.526283,1600,2949.418404
203.335216,1600,2983.350878
245.298254,1590,3077.905205
223.123018,1600,3175.394741
225.094043,1600,3272.991839
252.633102,1494,3305.430913
247.008709,1562,3398.895028
252.613617,1498,3466.348952
251.793825,1495,3533.46515
255.117612,1457,3557.711295
253.388213,1440,3621.978952
251.962037,1473,3688.752499
255.677002,1420,3709.951722
-86.761054,139,3786.009501
262.823368,1326,3806.07507
250.258627,1524,3894.21333
257.977212,1407,3985.611614
260.124227,1350,4014.526395
261.854829,1348,4086.466203
263.635629,1315,4174.855388
259.435571,1372,4203.553347
260.938188,1313,4298.59255
263.053549,1318,4383.72708
263.105448,1303,4411.805714
260.668032,1336,4504.319723
263.444595,1316,4525.004755
261.963942,1325,4618.582922
263.300796,1321,4712.928328
263.245126,1328,4731.695078
261.539881,1315,4817.999703
253.855117,1401,4905.497019
95.773206,959,4921.405213
266.848656,1250,5011.170627
259.08752,1320,5030.351517
259.10117,1342,5114.765946
261.471279,1337,5197.970377
262.16723,1293,5216.370004
262.372158,1283,5299.033494
263.128704,1283,5380.281195
260.207637,1334,5398.647129
261.855094,1293,5479.687791
263.034151,1277,5563.317806
146.336551,1137,5580.391094
264.453972,1266,5662.938353
259.912283,1317,5688.113895
-51.810299,309,5754.921211
-24.633045,421,5759.112711
264.262735,1258,5787.445944
38.575224,769,5859.599254
266.335397,1197,5885.232675
261.300252,1289,5977.214026
262.469941,1273,6059.568741
258.602842,1305,6084.908312
262.328368,1264,6160.432484
257.932316,1345,6186.716192
74.265197,1041,6260.672592
258.239667,1313,6344.503119
262.578065,1270,6369.050082
258.883464,1313,6448.823976
262.748816,1254,6474.655889
257.995722,1304,6551.894038
263.688858,1237,6635.591446
254.742232,1349,6661.96632
260.07296,1275,6734.870998
256.205165,1330,6805.897758
258.16324,1309,6826.025289
258.063104,1305,6880.307157
260.627233,1249,6939.464804
255.447634,1317,6959.597313
261.582083,1246,7013.399222
255.431572,1331,7033.791471
258.126235,1287,7093.069159
253.344414,1356,7147.504941
251.417032,1376,7168.275754
