#{"t_start": 1702938924.1245315, "env_id": "BipedalWalker-v3"}
r,l,t
-124.599368,1600,18.117779
-137.87165,145,19.30781
-113.160523,1600,116.182035
-109.105678,53,116.645009
-111.642355,118,117.667836
-237.31945,1598,180.648874
-104.827386,76,181.293931
-206.652762,1397,242.76764
-107.232976,1600,273.107373
-142.393128,515,336.103966
-76.137265,1600,406.825873
-106.532499,66,407.417832
-83.66643,1600,437.693838
-72.2319,1600,507.446551
-90.803264,1600,577.099104
-105.358963,38,577.42297
-75.348366,1600,649.676687
-71.739124,1600,664.800727
-117.4503,118,707.658374
-61.294176,1600,721.799759
-54.073791,1600,784.057883
-32.693108,1600,876.863155
-37.850206,1600,971.668995
-3.343406,1600,1006.851871
-8.64697,1600,1117.936202
-67.687672,1600,1192.039016
-58.405193,1600,1274.205009
-129.912628,810,1294.670644
42.761085,1600,1406.148557
22.042677,1600,1494.72903
40.800117,1600,1586.576267
41.387657,1600,1625.932267
62.917601,1600,1723.626841
80.297744,1600,1818.384523
68.034891,1600,1918.648084
80.488966,1600,1953.787549
105.929845,1600,2046.08477
59.67822,1600,2130.08221
42.775529,1600,2222.163331
93.686112,1600,2313.685923
100.381941,1600,2352.407979
120.18187,1600,2455.945039
156.695167,1600,2535.909475
168.012062,1600,2632.350008
194.364155,1600,2671.466161
184.553355,1600,2765.944353
195.165898,1600,2869.55864
98.43241,1549,2963.388689
221.43972,1600,3057.685476
224.868239,1600,3091.535005
228.475584,1600,3188.99843
246.044325,1576,3286.503037
227.622724,1600,3381.134394
243.060603,1598,3411.964147
251.066611,1497,3477.463172
254.626867,1441,3543.621647
253.780156,1478,3602.320895
250.752536,1483,3626.941945
235.312362,1600,3694.916217
252.494107,1482,3791.445872
261.108582,1346,3879.417305
255.530623,1450,3906.840923
260.902723,1364,3998.732328
121.769981,1218,4017.972605
262.31217,1314,4098.129635
259.240807,1329,4185.716619
264.48271,1312,4206.53462
267.468457,1258,4300.931496
254.776736,1413,4395.219362
262.482189,1330,4415.168789
259.992523,1336,4507.639728
261.466371,1347,4602.54662
261.572515,1340,4630.829399
261.594637,1331,4716.675028
265.868704,1259,4801.079786
260.697395,1315,4828.894991
263.817531,1271,4907.535721
263.507016,1288,4933.968472
262.729754,1283,5016.674205
263.350404,1285,5100.137051
262.292622,1305,5126.628151
261.396409,1299,5202.136455
260.392184,1342,5285.663841
261.620759,1313,5311.006018
266.122699,1233,5384.653443
259.351198,1318,5465.917133
263.259536,1274,5490.914045
260.804671,1308,5567.632684
44.21019,852,5582.380429
263.048377,1268,5664.894343
261.878677,1275,5689.701144
259.659404,1324,5774.151273
-22.486956,412,5786.916748
259.442734,1307,5870.861842
265.481183,1233,5961.703763
258.074866,1332,5990.285719
259.303186,1335,6071.85075
255.743242,1376,6148.262883
260.281981,1298,6173.811945
53.254892,945,6247.251148
264.573348,1250,6272.158586
264.490207,1246,6348.496797
263.563119,1253,6372.814987
257.57222,1305,6460.677652
264.798274,1218,6536.707878
265.140062,1242,6561.315907
-21.981664,532,6632.499166
252.806311,1361,6651.587934
263.209453,1254,6731.768342
253.696908,1364,6757.336383
261.571804,1259,6817.985087
258.027414,1301,6877.370504
258.754543,1294,6897.530084
-48.60471,346,6939.451982
263.485361,1241,6959.000422
262.633322,1240,7012.774373
42.170247,822,7024.181241
256.380841,1301,7083.483945
261.649378,1252,7103.272268
255.100427,1333,7157.671773
