#{"t_start": 1702938924.125588, "env_id": "BipedalWalker-v3"}
r,l,t
-173.424224,829,10.912287
-99.602125,75,11.507171
-100.633769,90,12.254327
-114.300749,63,12.78143
-112.293525,46,13.165876
-111.803423,43,13.522847
-113.978242,84,14.223519
-110.044692,51,14.646926
-114.122691,56,15.115793
-106.237443,47,15.513511
-115.685886,1600,103.395078
-103.373956,65,103.945826
-132.716115,1600,175.935106
-118.333378,74,177.258827
-110.941116,1600,240.50899
-102.649108,1600,270.833305
-126.653165,106,271.744047
-112.026574,55,272.233412
-112.012823,1600,352.146403
-100.987813,1600,423.95425
-122.034299,76,424.609538
-87.157171,1600,495.005207
-56.254976,1600,571.48069
-78.501014,1600,585.889927
-52.71628,1600,658.578032
-47.691082,1600,714.998365
-65.040869,1600,777.182774
-48.446765,1600,860.120387
-121.774976,94,871.220603
-7.128337,1600,906.611311
-13.582459,1600,1001.116221
-17.551277,1600,1103.773305
-35.062573,1600,1183.688097
35.623812,1600,1205.121507
22.231488,1600,1296.652766
-4.792816,1600,1407.589316
15.356111,1600,1495.77793
34.435436,1600,1587.692414
26.285236,1600,1627.257237
-3.972397,1600,1724.745749
67.138646,1600,1819.399417
87.745903,1600,1919.688406
98.999771,1600,1954.803932
91.625572,1600,2047.134872
116.251778,1600,2131.115273
-118.095098,84,2131.856557
-53.036377,615,2148.031909
10.353705,1437,2236.286112
-84.87575,207,2238.02655
45.545527,1581,2334.299926
142.211174,1600,2433.635999
158.402905,1600,2519.168682
155.437738,1600,2550.677852
136.876796,1600,2664.757701
184.351181,1600,2750.239957
176.758775,1600,2847.354166
195.560691,1600,2886.500444
208.738966,1600,2981.071118
47.430124,1186,3061.836009
218.938962,1600,3159.533167
237.269815,1600,3193.198164
234.681896,1600,3290.837145
248.649424,1559,3385.184109
108.905503,1379,3453.976931
238.923288,1600,3480.471808
252.592831,1469,3546.862576
258.45605,1382,3610.614198
259.808624,1402,3633.940121
50.332745,947,3690.857822
244.780938,1575,3788.28085
258.204702,1379,3817.37768
64.788187,1045,3892.841115
257.519216,1417,3984.272758
253.636995,1430,4013.831626
263.685313,1302,4085.428979
261.576491,1325,4173.866448
256.171589,1413,4202.862137
264.364152,1302,4289.762372
257.003826,1398,4383.732598
262.334331,1329,4412.042236
-33.884172,391,4415.484684
253.691427,1442,4508.856076
254.991633,1425,4604.496156
256.635284,1387,4633.111744
258.090222,1364,4726.723556
256.715366,1386,4804.798054
263.433569,1295,4832.303705
265.158518,1273,4918.751096
257.647311,1372,5001.83934
257.299917,1347,5028.973671
261.431606,1328,5113.294756
259.599164,1327,5196.375115
265.214231,1254,5214.466155
257.830156,1352,5297.730123
261.011916,1299,5379.103314
25.473426,677,5384.793798
254.513623,1356,5466.373322
259.442868,1316,5491.669125
260.363349,1317,5576.0871
261.188461,1290,5594.22242
32.583836,692,5664.62716
259.056423,1323,5689.833039
264.227214,1272,5773.833226
260.69265,1270,5859.529003
260.370737,1310,5886.146282
265.671145,1224,5977.552248
261.363311,1272,6059.888575
261.982774,1285,6085.063897
264.169117,1267,6160.619055
258.397023,1308,6186.578662
257.80878,1299,6269.749723
263.13927,1279,6346.340339
257.185313,1328,6371.271379
259.49506,1305,6459.126872
264.778532,1241,6535.357324
255.967196,1334,6560.765515
255.777336,1349,6646.413128
254.751936,1329,6720.251621
112.844848,1268,6744.859425
264.558684,1226,6807.799992
260.120851,1281,6827.752445
255.022084,1339,6887.378163
256.844165,1336,6942.02229
258.685086,1297,6962.058146
254.002499,1370,7022.072092
260.524056,1263,7081.15099
254.196929,1347,7096.347667
248.772173,1389,7156.417757
