#{"t_start": 1702938924.125067, "env_id": "BipedalWalker-v3"}
r,l,t
-114.06603,1600,18.119333
-115.017985,74,18.706664
-123.106168,1600,115.569962
-123.735215,78,116.243183
-103.120587,83,116.962732
-120.686301,73,117.600331
-105.305107,82,118.318389
-111.470584,1600,181.29567
-105.158263,74,181.949332
-109.93396,1600,245.157182
-101.794314,69,245.759961
-166.258036,697,260.049258
-98.493478,80,260.776253
-106.565311,67,261.394718
-107.558979,1600,349.433602
-158.855943,1186,409.246736
-89.186139,1600,439.547054
-73.655585,1600,509.195853
-79.870717,1600,578.75776
-104.519814,61,579.272215
-59.710052,1600,651.800888
-60.57336,1600,708.492635
-64.698665,1600,722.644422
-58.894637,1600,784.899653
-37.941477,1600,877.713634
-34.262985,1600,983.167062
-25.731828,1600,1018.675589
11.96921,1600,1118.759855
27.293921,1600,1193.238561
-2.831323,1600,1275.871045
39.21695,1600,1385.039842
34.170695,1600,1429.28091
46.581174,1600,1512.894716
72.504635,1600,1607.391098
53.714955,1600,1708.766632
48.329514,1600,1800.384959
75.032993,1600,1837.649886
88.693709,1600,1936.963343
31.049087,1600,2029.569144
-118.189202,73,2030.203224
-86.044489,453,2044.501535
119.742029,1600,2128.530853
129.918147,1600,2220.594323
138.531377,1600,2253.043553
89.03043,1600,2350.865953
147.395747,1600,2454.417877
169.804435,1600,2534.281107
140.063767,1600,2630.567223
180.615148,1600,2669.724129
195.820108,1600,2755.109292
223.619542,1600,2854.584029
209.563093,1600,2952.03124
220.851103,1600,3046.528393
227.366348,1600,3080.618703
229.145433,1600,3187.849392
217.443226,1600,3285.615529
248.251148,1537,3378.852695
252.514273,1497,3401.408299
246.585874,1549,3469.322453
254.46734,1473,3536.174561
256.88769,1415,3560.121685
254.324942,1423,3624.207162
259.819102,1405,3690.382663
255.751187,1424,3786.513421
252.042191,1485,3807.954695
259.6915,1377,3894.835373
260.420353,1358,3985.816389
259.7019,1352,4014.73869
256.599926,1419,4095.769228
255.686315,1413,4176.551031
254.915433,1456,4206.16752
262.806343,1306,4301.039297
267.044427,1244,4385.444621
263.588543,1297,4413.501968
257.846789,1355,4506.156222
264.693709,1287,4600.236103
263.299849,1287,4619.828816
261.643491,1307,4714.043199
67.547564,923,4729.365056
265.755265,1285,4815.338453
258.990832,1367,4896.09375
259.577779,1335,4921.709048
260.246923,1310,5012.090441
259.808208,1333,5096.245701
264.323929,1237,5114.795194
260.733901,1311,5197.775481
254.833846,1386,5224.315346
256.997162,1332,5300.022536
263.094,1274,5381.19411
264.539285,1250,5398.860244
264.430316,1266,5479.674089
263.248878,1266,5563.213879
261.118515,1303,5581.697769
266.999311,1241,5664.010725
260.366978,1321,5689.216889
261.749085,1307,5773.475303
265.751148,1241,5858.954207
259.198628,1335,5885.755943
256.174246,1331,5978.119364
263.212838,1277,6060.464824
263.985322,1264,6085.464472
261.138159,1295,6161.252977
258.546922,1311,6187.269378
258.798104,1328,6270.648261
257.604337,1313,6347.538946
261.81167,1277,6372.038268
257.449102,1306,6459.919884
259.473167,1305,6536.685332
262.693581,1282,6561.657562
260.956571,1275,6646.679042
260.435051,1297,6720.234139
257.274806,1321,6745.283378
263.545407,1223,6808.153247
260.439658,1282,6828.115654
257.833863,1295,6887.416338
255.201387,1310,6941.863917
-77.427665,252,6948.96053
259.779907,1276,6963.612148
260.757262,1279,7022.963294
259.969545,1275,7082.064326
255.612154,1312,7097.05356
258.083336,1282,7156.336072
