#{"t_start": 1702938924.1286147, "env_id": "BipedalWalker-v3"}
r,l,t
-110.339535,1600,18.12261
-115.345149,74,18.706146
-119.933142,1600,115.569532
-123.836178,1600,178.538685
-102.115077,69,179.138532
-99.339045,67,179.723784
-120.623673,122,180.798011
-106.673185,77,181.465768
-103.184703,82,182.184882
-102.822329,53,182.647973
-214.982698,1276,243.049341
-104.244734,74,243.697907
-233.536799,1489,273.066952
-117.5027,1600,353.098065
-90.184217,1600,424.800961
-83.805639,1600,495.21198
-107.342026,64,495.817583
-79.104841,1600,572.212124
-72.489711,1600,586.644491
-91.525803,1600,659.322846
-63.345257,1600,715.72132
-103.84125,69,716.34541
-27.982974,1600,778.880446
-43.869728,1600,871.744056
-12.098041,1600,907.134795
-0.642452,1600,1001.640099
0.684378,1600,1104.356111
3.317727,1600,1184.260399
16.758704,1600,1206.069571
43.769626,1600,1297.685311
-11.626763,1600,1408.403698
0.329581,1600,1496.350872
43.394101,1600,1588.323436
40.727681,1600,1627.855675
50.631947,1600,1725.300978
65.877604,1600,1819.956785
84.100681,1600,1920.261728
94.727708,1600,2012.641174
23.895539,1600,2047.665798
115.138331,1600,2131.654529
-91.297544,368,2145.770256
100.673272,1600,2235.33456
139.658461,1600,2329.839311
-85.502153,268,2334.07207
130.280809,1600,2433.418288
137.192928,1600,2518.950543
-41.178606,810,2536.163274
133.811683,1600,2632.631742
194.068241,1600,2681.154885
203.776918,1600,2766.176808
182.617418,1600,2869.789224
216.681184,1600,2964.087243
187.654869,1600,3058.383662
232.508283,1600,3092.225266
243.796945,1572,3189.462431
248.437924,1558,3286.784904
227.683305,1600,3381.415592
248.72198,1527,3411.477745
246.630664,1569,3477.753688
249.009349,1550,3544.847774
257.246339,1404,3608.818697
254.862058,1462,3627.361697
255.7519,1415,3693.722629
261.626326,1373,3789.286551
261.062434,1365,3818.318937
264.60031,1308,3895.939273
251.859158,1460,3987.829731
39.135076,817,4003.529385
256.392273,1396,4084.467785
255.888336,1417,4173.697564
264.109486,1307,4201.664838
-24.228884,522,4206.656566
262.656204,1327,4301.688805
258.795822,1385,4395.683293
256.117834,1404,4424.415724
263.40033,1305,4508.463189
262.487953,1321,4603.17031
261.556477,1304,4631.134284
263.806983,1283,4716.562713
153.636554,1377,4801.961329
149.903449,1203,4828.835136
268.436218,1216,4906.999434
261.676997,1331,4933.806158
258.915064,1350,5024.702559
261.905018,1281,5100.51994
265.390729,1264,5126.651894
263.110694,1295,5202.123469
261.013794,1303,5285.327486
265.246942,1274,5310.343721
262.76254,1296,5384.517566
257.423403,1326,5465.848108
263.45728,1261,5490.737449
266.580227,1245,5566.91932
263.860596,1272,5592.477471
261.283738,1312,5675.007681
265.678834,1252,5757.490414
257.760415,1358,5786.723539
66.199052,866,5859.719387
260.093183,1309,5886.337019
270.277199,1197,5977.507448
261.057794,1293,6060.020859
257.004901,1319,6085.480785
-73.614445,202,6087.228425
257.802234,1335,6170.600182
264.632854,1219,6246.347783
255.094016,1365,6272.222543
257.587798,1314,6355.72681
256.555247,1359,6434.618338
263.814267,1248,6461.723887
257.313449,1364,6546.280623
254.68763,1364,6564.653899
261.472817,1266,6649.585713
260.584375,1282,6730.024653
265.160727,1241,6747.383014
257.450434,1328,6816.053074
253.697231,1347,6875.778596
249.872813,1412,6891.489004
250.117013,1409,6951.833355
254.692389,1343,7011.500393
260.699481,1266,7031.428432
258.215681,1293,7085.510452
252.307563,1332,7145.003032
252.877135,1344,7165.544526
