#{"t_start": 1702938924.1146533, "env_id": "BipedalWalker-v3"}
r,l,t
-101.581536,67,4.549073
-123.30746,1600,18.651327
-107.642929,1600,115.513733
-175.524454,743,130.197812
-111.593324,1600,185.634818
-116.042933,149,186.916025
-137.202431,247,189.016227
-120.744954,1600,259.817803
-115.839378,79,260.568009
-101.92332,47,260.984602
-103.161236,78,261.74232
-129.788473,1600,349.694619
-99.283113,81,350.361292
-89.56046,1600,422.299248
-96.817423,1600,492.630964
-77.164678,1600,521.634146
-101.958899,56,569.704136
-69.552155,1600,584.08954
-69.58247,1600,656.777321
-56.56411,1600,713.181087
-29.185384,1600,775.397153
-33.325136,1600,799.946674
-44.050402,1600,892.944477
1.92798,1600,987.600028
-21.297378,1600,1087.716569
19.835651,1600,1177.386003
-115.550782,52,1177.869452
-31.410784,1600,1199.930386
39.696998,1600,1285.460676
29.471144,1600,1404.589793
21.188369,1600,1493.385376
41.015807,1600,1526.902201
12.445122,1600,1624.705727
30.12349,1600,1722.490138
55.939414,1600,1817.198639
57.918651,1600,1917.471339
-117.792466,82,1918.179093
76.021026,1600,1953.345266
47.535261,1600,2045.640821
-59.220884,1283,2126.979875
88.311669,1600,2219.043967
144.082021,1600,2251.476212
164.913406,1600,2349.273262
138.401796,1600,2451.756308
159.4556,1600,2532.615344
36.61606,1271,2562.034057
163.621469,1600,2665.255134
197.939153,1600,2750.712218
65.058597,1369,2834.913661
190.836749,1600,2875.332597
216.70229,1600,2969.64507
208.528878,1600,3074.108887
36.662571,1058,3093.100666
240.559287,1600,3190.581013
238.553299,1600,3288.261347
211.605544,1600,3382.891318
246.16227,1554,3453.260952
251.188629,1480,3478.685773
73.91956,1010,3535.328851
257.868449,1403,3559.183447
253.794451,1440,3623.421125
256.73162,1432,3689.805953
254.945609,1458,3786.229456
260.917991,1363,3806.603104
255.533129,1426,3893.915119
258.240178,1387,3985.096525
261.190123,1324,4013.755831
3.904937,678,4074.015825
264.573562,1300,4099.809535
254.798402,1395,4187.882883
262.209936,1350,4284.446955
261.738071,1325,4304.136519
254.149488,1419,4398.383628
105.422753,1144,4424.849
265.095201,1295,4508.813407
262.996492,1327,4603.594364
261.100266,1323,4631.686037
270.452542,1194,4716.372057
266.351615,1237,4800.578575
262.356027,1316,4820.65199
260.134667,1362,4907.816971
261.132456,1336,4998.355722
259.570791,1329,5025.37186
255.526317,1391,5102.126911
263.754147,1300,5128.710569
261.801764,1304,5211.549736
261.929933,1325,5287.470549
260.313673,1331,5312.979268
261.607979,1272,5394.10078
260.232947,1294,5467.998247
-55.130527,374,5478.291324
259.511157,1329,5562.370978
261.180941,1297,5580.787285
263.913326,1247,5663.16755
263.191325,1267,5680.750647
262.580529,1271,5771.497106
259.578816,1318,5857.969517
262.945824,1256,5875.786217
258.730015,1325,5976.342102
260.601196,1301,6059.004955
258.801584,1326,6077.279364
265.593075,1220,6159.669262
258.532536,1312,6185.636277
256.682559,1344,6262.21531
262.983325,1235,6345.429386
245.304133,1445,6371.352892
262.025595,1259,6450.910522
260.470091,1293,6535.49023
-34.909026,430,6546.423198
262.1767,1284,6564.122579
261.413312,1278,6649.16099
257.787444,1320,6729.902497
256.529363,1331,6748.050636
262.865401,1234,6815.929254
258.892131,1296,6875.288308
249.245673,1405,6890.936908
254.469754,1351,6950.825935
265.784872,1213,7009.604493
248.634344,1397,7025.225916
257.078032,1299,7084.518803
70.843447,994,7097.155724
-25.283917,456,7144.946584
254.600469,1346,7165.501693
