#{"t_start": 1702938924.1291306, "env_id": "BipedalWalker-v3"}
r,l,t
-116.193519,1600,18.12413
-190.269564,1007,100.012321
-116.517861,1600,172.144744
-103.252598,1600,187.313411
-100.127103,1600,258.033077
-119.326658,1600,338.510342
-109.780847,68,339.052868
-97.467415,1600,410.216665
-192.915479,983,427.189923
-67.053139,1600,497.777713
-71.007757,1600,574.437051
-63.38741,1600,646.692461
-61.281291,1600,661.700163
-74.768891,1600,717.821414
-55.387001,1600,780.09781
-58.764798,1600,872.926439
-18.720869,1600,908.393365
-35.062137,1600,1002.858947
4.80886,1600,1105.605728
-114.405917,90,1106.429025
-3.121202,1600,1186.636036
-8.793098,1600,1268.166772
18.477843,1600,1300.865619
-8.86978,1600,1411.345945
48.243203,1600,1498.417218
33.040484,1600,1590.447613
-109.038116,41,1590.830796
3.579457,1600,1694.71505
70.287383,1600,1727.692337
-31.463565,1488,1821.314917
60.855411,1600,1921.68545
84.434423,1600,2013.999223
61.939857,1600,2060.507194
112.775796,1600,2143.994262
129.994601,1600,2233.584016
92.594148,1600,2328.08953
142.37066,1600,2427.659612
-112.414431,52,2428.092767
131.153251,1600,2466.90736
-46.519045,616,2530.805545
174.575363,1600,2562.965366
147.873046,1600,2666.196967
201.342636,1600,2751.628607
192.277554,1600,2850.135627
38.626715,1220,2874.981285
-45.871419,485,2949.453705
215.42201,1600,2983.385376
198.627193,1600,3078.017355
223.474198,1600,3175.512364
221.644195,1600,3273.11876
245.118462,1579,3306.250585
251.708305,1485,3399.081192
249.094006,1532,3466.827791
253.609063,1486,3533.856707
247.846613,1525,3558.688167
253.921332,1459,3623.118487
-25.903767,476,3627.255013
252.653398,1493,3694.30524
250.560554,1461,3790.636042
254.112566,1444,3879.464231
258.359544,1385,3906.338576
255.787503,1405,3998.570336
256.94354,1397,4073.666523
262.972572,1326,4099.676113
253.372205,1426,4188.023259
264.69738,1289,4284.07339
253.217847,1433,4304.676687
262.670331,1317,4398.049217
100.71828,981,4414.972566
261.475208,1336,4507.437804
263.831422,1287,4601.544766
261.094039,1328,4621.493384
264.51156,1291,4715.54045
263.944312,1274,4800.059565
263.065655,1316,4820.135216
257.479334,1323,4906.949583
262.474523,1308,4933.573241
265.922632,1282,5016.269806
269.089258,1230,5099.25284
-53.325118,318,5101.959756
264.30262,1276,5128.333068
259.774519,1345,5211.530287
258.743177,1332,5287.522573
259.688431,1300,5312.752269
260.654055,1281,5393.950634
262.897401,1289,5467.814714
260.268776,1302,5492.937569
263.041445,1258,5576.918344
261.30296,1304,5652.724986
259.854344,1287,5677.498558
265.804047,1244,5767.959929
263.456933,1237,5788.163344
263.764094,1282,5871.875714
265.254087,1216,5962.658673
259.589698,1290,5990.82328
264.445218,1234,6071.512488
262.577549,1295,6089.778255
257.38652,1313,6172.93357
263.456534,1244,6256.272776
257.606505,1330,6274.488576
-106.960585,54,6274.964012
253.395769,1386,6359.045361
255.065756,1335,6445.984294
261.525122,1258,6464.924638
262.76502,1271,6548.901745
255.531459,1342,6633.544593
261.044844,1263,6651.810422
260.615867,1282,6732.224001
255.615717,1307,6757.316009
261.776507,1264,6818.005837
256.024361,1315,6877.499386
259.625904,1295,6897.651683
254.030492,1354,6952.318821
264.151479,1224,7011.058067
255.980428,1322,7031.395043
254.642236,1339,7085.819251
252.77334,1377,7145.632892
256.650983,1301,7165.868763
