#{"t_start": 1702938924.115702, "env_id": "BipedalWalker-v3"}
r,l,t
-115.3585,1600,18.114625
-101.293232,75,18.723444
-105.688877,69,19.304748
-108.186032,56,19.773381
-114.217856,75,20.40668
-98.245024,88,21.179312
-104.204056,78,21.839782
-111.950043,69,83.096123
-101.318844,99,84.029383
-100.367159,79,84.74589
-112.240602,1600,120.974739
-120.996373,95,130.003184
-105.932465,61,130.441583
-110.727889,94,171.578063
-102.151536,74,172.200169
-127.274544,1600,187.36761
-99.736428,92,188.147447
-109.093737,1600,258.899946
-108.771911,112,259.919279
-165.324275,733,324.926346
-120.243188,71,325.50561
-102.186204,1600,355.04677
-178.649537,1194,423.357972
-94.383119,1600,493.708192
-83.081275,1600,570.269142
-121.569323,102,571.119637
-141.09989,847,578.761739
-74.908763,1600,651.216232
-115.220978,57,651.767503
-114.159929,54,652.233552
-60.55487,1600,708.913814
-46.982039,1600,723.148842
-60.749064,1600,795.912468
-43.560566,1600,888.885853
-32.203194,1600,983.589806
-53.183812,1600,1083.104627
-14.842377,1600,1119.20948
9.925505,1600,1193.763141
-2.077589,1600,1276.711097
-0.051158,1600,1385.521833
33.948552,1600,1429.77056
-35.078111,1600,1513.358411
5.163668,1600,1607.83093
-96.359765,530,1624.764177
50.846096,1600,1722.535307
-20.884541,1343,1803.27477
34.932156,1600,1840.447571
71.23803,1600,1950.493368
78.014427,1600,2041.557856
108.588591,1600,2126.836469
128.153391,1600,2218.900849
111.383587,1600,2251.332459
120.820115,1600,2349.129782
153.896854,1600,2451.522072
154.359116,1600,2532.460718
171.361193,1600,2628.785805
188.890374,1600,2667.930842
171.710194,1600,2753.375858
218.125529,1600,2852.880436
85.33573,1514,2949.579528
212.682492,1600,2983.494396
236.93164,1600,3078.141525
216.456565,1600,3175.621447
227.933198,1600,3273.234682
224.071017,1600,3306.534472
251.10198,1525,3399.707107
220.09218,1600,3468.063168
254.010987,1479,3534.980469
251.015782,1465,3559.361213
257.001101,1390,3623.161894
251.270901,1474,3689.921774
266.787529,1275,3709.899229
258.389612,1408,3805.535395
258.81313,1392,3892.580568
-120.8888,77,3893.223607
258.165268,1398,3984.495877
256.965921,1409,4013.912533
265.624225,1269,4085.192611
251.789138,1452,4174.757577
255.609142,1392,4203.6651
257.924847,1370,4299.178372
259.468189,1358,4384.730193
-16.69759,504,4397.432375
259.163799,1336,4425.557841
251.99389,1457,4519.310582
261.919489,1327,4605.792801
116.116688,1155,4632.370318
262.608614,1294,4717.86408
259.870961,1350,4803.070074
262.927603,1319,4830.884362
263.56993,1326,4917.774698
260.394606,1335,5000.505382
271.157889,1183,5026.31208
262.081911,1304,5102.336485
264.311835,1255,5128.525924
263.292632,1287,5211.225088
74.056068,880,5283.445606
262.776808,1272,5301.22875
264.061614,1282,5382.466962
250.431809,1435,5408.70848
259.824174,1325,5490.191217
263.768596,1251,5566.387284
265.100791,1247,5591.736157
259.744102,1320,5674.341
265.886356,1241,5756.284038
264.687413,1251,5784.716677
151.043066,1248,5861.261325
-52.125119,285,5870.91812
263.625944,1250,5961.916886
-113.581593,46,5962.333548
264.633995,1256,5990.208407
259.308478,1303,6071.505626
264.551707,1244,6089.354003
262.187829,1282,6172.234835
263.763031,1242,6248.198335
259.001009,1310,6273.597886
262.544517,1254,6356.585944
-82.969338,173,6358.045278
258.851728,1305,6444.676749
266.976734,1205,6463.215529
253.771252,1378,6548.034108
40.534262,749,6561.071984
256.597144,1349,6646.736368
254.218161,1363,6720.840217
-119.293811,93,6721.633406
260.615637,1298,6746.482628
262.720442,1255,6814.713229
53.106551,882,6826.437384
255.984775,1317,6885.948858
103.134784,1133,6939.105899
261.941833,1267,6958.798872
258.558277,1308,7013.101784
253.740211,1351,7033.648826
259.033071,1288,7092.929734
250.902113,1379,7147.538599
260.243016,1274,7167.554442
