#{"t_start": 1702938924.1183994, "env_id": "BipedalWalker-v3"}
r,l,t
-111.776307,1600,18.116414
-136.288414,333,20.911321
-119.625335,75,21.553929
-110.820604,61,82.744164
-101.845485,57,83.24403
-106.655478,69,83.878675
-105.714119,1600,120.14826
-99.792548,68,120.7463
-106.549408,54,129.529951
-103.048102,101,130.253398
-116.151168,1600,185.704842
-115.227315,1600,256.481711
-105.033972,67,257.005636
-103.013318,65,257.553921
-115.248125,61,258.083862
-100.749785,72,258.708513
-103.273583,73,259.366405
-115.130537,58,259.900223
-119.137954,62,260.477474
-118.34705,68,261.107
-117.568048,71,270.047031
-123.048347,1600,349.734999
-94.176066,1600,421.655119
-103.049879,1600,492.058059
-97.13752,1600,520.960805
-117.865969,66,521.548867
-82.09397,1600,583.513731
-59.848693,1600,656.17922
-114.113308,58,656.699688
-36.811603,1600,713.106304
-54.105418,1600,775.32087
-26.675107,1600,799.870347
-54.245961,1600,892.875381
-27.741338,1600,987.522002
-23.220438,1600,1087.58064
15.607364,1600,1177.309693
-110.050926,105,1178.342436
-36.655771,1600,1200.6598
9.352721,1600,1293.2399
-114.290782,58,1294.141285
-19.417043,1600,1405.743968
12.878419,1600,1494.440929
11.304643,1600,1586.297148
38.708726,1600,1625.628881
43.044378,1600,1723.353981
45.158096,1600,1818.095664
78.023372,1600,1918.369478
80.622214,1600,1953.524423
80.793783,1600,2045.821865
112.597245,1600,2129.819172
22.083889,1543,2221.39882
-60.676444,492,2234.098292
133.601401,1600,2328.594836
102.080256,1600,2428.166698
146.820966,1600,2466.987708
174.454326,1600,2546.922302
174.872109,1600,2649.536876
198.653509,1600,2739.474872
193.252963,1600,2769.407948
138.033494,1600,2873.030221
6.481663,984,2951.785962
214.948159,1600,2985.741272
227.302125,1600,3080.365242
210.319995,1600,3177.845698
218.88413,1600,3285.397223
248.282899,1578,3379.007179
246.029763,1564,3410.151203
248.882392,1530,3476.204037
257.956417,1424,3536.279775
257.304198,1421,3600.353078
251.56327,1471,3624.760229
257.556044,1423,3691.129293
250.81332,1497,3787.859841
258.885744,1368,3816.882296
260.941869,1318,3894.662939
257.467819,1397,3986.004115
257.776927,1382,4015.176376
260.035857,1356,4095.649928
258.744256,1364,4175.99729
260.559852,1331,4204.430247
252.682799,1465,4300.75211
262.411525,1328,4394.34741
264.81978,1306,4414.056172
263.909253,1289,4506.136828
262.525436,1314,4600.4508
263.492254,1314,4620.274262
264.477381,1307,4714.512357
259.128924,1345,4799.633269
264.65086,1278,4819.383479
263.445407,1299,4905.989565
263.934294,1289,4932.422466
71.303845,846,5010.996915
260.528439,1308,5030.109512
259.861599,1341,5114.523691
257.286695,1367,5197.980723
262.683013,1301,5216.44661
258.655861,1336,5299.551327
263.751559,1274,5380.7243
256.847731,1332,5406.096602
265.648193,1257,5479.821171
268.143996,1222,5562.985077
261.508866,1324,5581.635602
264.85652,1270,5664.206341
263.95866,1274,5689.014304
260.834029,1301,5773.190665
264.261769,1264,5858.876136
260.90615,1296,5885.360379
261.79141,1301,5977.440639
253.251901,1383,6060.71932
262.529507,1277,6085.836211
256.860737,1344,6162.01664
262.080222,1305,6245.796565
259.366041,1312,6271.229261
261.325804,1257,6347.651113
257.654787,1337,6372.661109
253.71468,1381,6461.173946
262.145165,1252,6537.495325
263.525016,1261,6562.294477
259.478899,1293,6647.4511
257.247447,1315,6721.155226
259.550074,1308,6746.097354
258.916572,1281,6814.567232
260.289997,1251,6829.039982
258.359113,1281,6888.236452
260.673751,1275,6947.680042
259.12421,1266,6962.234263
262.314613,1245,7021.261245
254.478637,1317,7075.494318
258.106805,1297,7095.635675
248.139084,1415,7155.886266
