#{"t_start": 1702938924.1219065, "env_id": "BipedalWalker-v3"}
r,l,t
-101.82982,88,4.691074
-108.598312,1600,18.834784
-111.638613,51,19.259398
-106.326603,73,19.875274
-113.975728,49,20.283956
-109.917848,1600,117.196451
-120.578917,1600,180.17189
-109.47285,1600,243.402981
-105.450158,1600,324.074896
-165.264705,677,337.962748
-99.996283,81,338.607591
-95.199473,1600,409.728732
-104.858552,45,410.129589
-108.60887,60,410.664831
-88.522105,1600,481.914552
-73.205028,1600,510.724821
-73.723434,1600,580.125239
-52.91462,1600,652.66239
-113.780789,53,653.129554
-32.256605,1600,710.068524
-67.006924,1600,724.318534
-47.930296,1600,796.767514
-27.834425,1600,889.748339
-38.068942,1600,984.452243
-12.817283,1600,1084.044048
-34.383668,1600,1120.083667
8.23107,1600,1194.723956
-64.383862,1600,1278.422533
21.842355,1600,1386.467624
23.639975,1600,1430.9175
14.567346,1600,1514.321314
26.181662,1600,1608.75129
59.314555,1600,1710.078007
85.868081,1600,1801.736617
86.169977,1600,1838.969011
87.336676,1600,1938.264606
-34.109876,1564,2030.580217
98.031768,1600,2114.026524
119.899493,1600,2149.658417
146.320589,1600,2239.255212
122.922406,1600,2346.57346
154.3341,1600,2448.717943
145.397049,1600,2530.778468
168.745721,1600,2562.936965
167.99407,1600,2666.151582
177.57319,1600,2751.596002
213.35779,1600,2850.07396
192.908523,1600,2948.523572
149.026344,1600,2982.456907
191.455358,1600,3077.086802
226.495001,1600,3174.592489
245.004763,1572,3271.924342
218.921399,1600,3305.279575
244.147152,1579,3398.895755
249.120219,1533,3466.639698
248.537425,1525,3534.016221
257.134585,1432,3558.048936
257.254853,1383,3621.824877
259.110652,1370,3679.051494
256.422959,1403,3708.742802
253.175956,1440,3804.673971
-41.942959,413,3816.830264
256.875587,1397,3895.30259
260.780993,1373,3986.434246
33.204192,919,4002.985972
255.219709,1396,4083.883337
262.041053,1338,4112.413804
255.50558,1403,4201.268628
-43.91459,340,4204.535606
264.648879,1294,4299.307491
264.870214,1312,4384.390431
264.412816,1295,4412.403917
256.452655,1386,4505.359184
261.58621,1329,4591.105896
-66.050238,239,4602.099034
47.488945,787,4617.131019
266.459458,1276,4703.867715
40.842661,751,4717.517616
263.592512,1290,4802.192677
266.052039,1238,4829.346577
265.180648,1289,4908.137457
258.237629,1393,4999.151083
263.800429,1287,5025.824777
266.622168,1250,5101.388893
266.468139,1233,5127.3554
259.193674,1323,5210.411139
261.407018,1301,5286.141589
264.677292,1262,5311.064615
259.926239,1326,5392.638479
260.789246,1320,5466.759256
269.47632,1201,5491.139313
259.538871,1315,5567.941499
88.34977,1032,5591.465472
259.282643,1314,5667.095842
260.363908,1315,5756.713749
265.394087,1249,5785.186279
261.273585,1274,5861.781911
255.879806,1368,5960.996293
12.323945,597,5974.838545
262.733813,1270,6001.285462
262.483247,1258,6075.016908
260.989719,1285,6157.980778
256.948148,1333,6176.46409
260.074837,1295,6260.234739
267.029074,1207,6343.164273
261.346753,1272,6360.574862
260.208083,1278,6447.122396
264.521783,1239,6472.944434
253.770356,1356,6550.609485
84.363372,995,6632.232812
266.712322,1197,6649.925081
258.543808,1293,6730.445696
259.387339,1295,6748.28693
259.394574,1286,6816.515818
259.22664,1269,6875.665265
259.193441,1258,6890.223963
258.168188,1299,6949.737908
62.236074,826,6961.049967
246.806764,1442,7021.556739
254.896345,1340,7081.252338
-120.572037,68,7081.720344
258.085765,1278,7096.44743
260.498918,1251,7155.484326
8.448166,599,7165.168759
