#{"t_start": 1702938924.1240072, "env_id": "BipedalWalker-v3"}
r,l,t
-122.102098,93,4.726037
-112.267721,1600,18.873927
-108.347208,1600,115.746225
-104.594595,1600,178.708057
-100.09915,72,179.33357
-110.207724,1600,242.576237
-104.482364,58,243.076622
-121.04095,1600,323.746438
-120.660727,112,324.773658
-103.2271,64,325.333251
-113.839312,1600,354.862604
-94.169354,1600,426.676815
-92.018213,1600,497.225819
-106.535258,82,505.094219
-74.179043,1600,574.640321
-68.69774,1600,646.893331
-80.866283,1600,661.928525
-106.539087,74,662.609358
-104.742752,118,663.636292
-57.911792,1600,719.659615
-47.135315,1600,781.924347
-23.511434,1600,874.746478
-14.389348,1600,969.510599
-29.090274,1600,1004.700976
-30.50073,1600,1107.565459
-20.486044,1600,1187.956005
-70.386519,1600,1269.539234
-35.570751,1600,1302.069057
-114.899063,63,1302.735744
-13.980137,1600,1413.53199
-89.687754,1089,1495.520777
16.271704,1600,1587.393358
18.850273,1600,1626.958754
70.613135,1600,1724.471704
-63.400949,1191,1815.576889
58.076358,1600,1915.915182
96.030928,1600,1951.0703
106.601499,1600,2042.297203
124.37985,1600,2127.414544
101.752233,1600,2219.478786
144.911492,1600,2251.911793
148.472155,1600,2349.700517
141.59551,1600,2452.500089
-94.341335,259,2455.400582
104.823177,1600,2535.387706
173.713398,1600,2631.743587
182.421046,1600,2670.93324
198.182387,1600,2756.207931
205.07439,1600,2856.42251
200.058579,1600,2963.314877
242.783443,1600,3057.619431
219.488999,1600,3091.461277
198.968966,1600,3188.932265
242.092913,1600,3286.636848
224.445175,1600,3381.27532
243.683916,1600,3412.13051
249.79544,1553,3478.090522
247.661017,1532,3545.050204
256.167676,1398,3608.954746
258.189824,1416,3627.105935
27.111767,859,3679.875377
263.266249,1320,3708.882204
257.278911,1382,3804.27921
257.771269,1385,3891.334717
261.403879,1343,3910.524951
257.843593,1379,4002.658109
256.720644,1398,4083.555266
256.697293,1402,4112.662634
-1.245511,644,4185.943554
258.812529,1333,4206.976104
258.108124,1350,4302.233017
260.709215,1310,4395.536526
24.951074,698,4409.993348
257.25798,1368,4494.533453
265.35897,1255,4522.184112
268.102552,1248,4615.780982
262.802262,1299,4702.798364
261.688874,1342,4728.94853
264.776051,1275,4814.839167
267.343365,1237,4833.113622
-65.250881,263,4903.260277
264.268573,1303,4922.059833
259.949265,1349,5012.84255
262.400305,1338,5096.953606
261.85016,1308,5116.10304
-52.267492,346,5126.428483
260.354696,1298,5201.917197
261.572537,1293,5285.047241
261.511638,1324,5310.479703
-60.398451,265,5312.696837
263.323973,1276,5393.853154
265.325672,1264,5467.508633
104.910439,1004,5490.278889
264.727852,1260,5566.555602
137.709744,1185,5591.387879
260.865442,1335,5667.194595
261.21405,1281,5756.444463
257.668297,1343,5785.860038
256.586504,1343,5870.212456
262.046128,1273,5961.378597
259.290194,1339,5989.994055
256.798318,1339,6071.616126
262.840209,1301,6089.93203
260.47376,1313,6173.079349
-56.512358,315,6175.712307
258.437535,1325,6259.733713
258.702557,1309,6343.513005
257.93767,1333,6361.439589
264.15704,1238,6447.679037
256.414964,1327,6474.202369
252.273872,1377,6552.058208
258.068763,1322,6636.472053
259.035622,1300,6662.437599
262.340803,1286,6735.427175
257.202277,1311,6806.254834
-115.893659,60,6806.700674
258.661372,1286,6826.68417
254.354352,1341,6886.332393
260.925449,1275,6940.527873
15.707782,619,6950.334139
261.61023,1269,7009.529333
251.301054,1374,7024.972223
259.899167,1270,7084.039068
255.353908,1340,7104.429092
257.152308,1319,7158.784775
