#{"t_start": 1702947202.901887, "env_id": "CarRacing-v2"}
r,l,t
6.382979,1000,46.375101
14.09396,1000,91.8039
-92.459933,599,118.964109
186.245353,1000,163.440516
52.173913,1000,208.285094
345.614035,1000,252.772757
346.48318,1000,328.078308
415.570934,1000,372.930689
280.327869,1000,420.542555
394.773519,1000,468.83628
322.712934,1000,516.100198
511.486486,1000,563.4995
552.509653,1000,643.670066
576.375405,1000,691.173467
657.785467,1000,737.759544
802.097902,1000,784.357433
680.405405,1000,831.15794
586.83274,1000,878.734319
431.847134,1000,926.833773
694.612795,1000,1007.75234
762.190813,1000,1054.937158
737.931034,1000,1103.220469
409.493671,1000,1150.605574
723.741007,1000,1197.866994
802.208202,1000,1245.26677
150.0,1000,1324.583906
577.852349,1000,1372.640498
616.981132,1000,1420.680123
410.638298,1000,1469.32515
625.352113,1000,1516.739705
917.9,821,1556.554217
548.648649,1000,1637.752427
917.1,829,1678.087575
831.558935,1000,1726.094326
405.190311,1000,1774.146127
729.508197,1000,1821.851488
558.536585,1000,1869.718141
658.122744,1000,1917.189146
622.807018,1000,1996.199955
699.319728,1000,2043.664203
687.037037,1000,2091.370164
907.9,921,2135.392487
821.146953,1000,2182.998726
893.442623,1000,2231.232502
579.61165,1000,2310.603913
909.4,906,2353.641104
269.863014,1000,2399.187672
861.685824,1000,2447.666753
901.3,987,2495.318727
911.7,883,2537.208654
624.025974,1000,2584.722434
675.316456,1000,2664.90656
882.142857,1000,2712.903208
888.372093,1000,2761.246874
328.134557,1000,2808.746663
715.602837,1000,2857.562145
718.493151,1000,2906.614791
694.612795,1000,2984.541083
580.250784,1000,3031.922392
675.0,1000,3078.792348
508.391608,1000,3127.311611
528.398792,1000,3175.474049
699.352751,1000,3223.382828
425.373134,1000,3303.574719
676.271186,1000,3351.50704
837.728938,1000,3400.409284
864.516129,1000,3449.04766
675.862069,1000,3496.913674
500.649351,1000,3545.21016
346.969697,1000,3624.168073
362.068966,1000,3671.871299
761.702128,1000,3719.804415
543.598616,1000,3768.617107
725.783972,1000,3819.602571
671.929825,1000,3867.348031
641.37931,1000,3913.967132
588.581315,1000,3992.4198
442.857143,1000,4039.249747
362.295082,1000,4085.899693
906.0,940,4131.099469
574.418605,1000,4178.551787
556.140351,1000,4223.087541
308.955224,1000,4301.558304
650.0,1000,4348.631794
904.4,956,4393.696852
614.776632,1000,4440.451318
630.519481,1000,4487.730225
551.408451,1000,4534.131664
345.182724,1000,4612.391026
665.100671,1000,4659.647526
569.291339,1000,4706.31295
867.509025,1000,4753.186249
500.628931,1000,4800.510357
602.508961,1000,4847.784795
580.0,1000,4926.286236
575.159236,1000,4972.803857
285.113269,1000,5019.183467
669.230769,1000,5065.702002
875.694444,1000,5113.207295
610.43771,1000,5160.31296
824.242424,1000,5207.077312
525.0,1000,5283.962925
854.198473,1000,5330.412384
839.490446,1000,5377.636281
914.2,858,5418.497652
618.954248,1000,5465.931173
364.968153,1000,5512.900624
461.604585,1000,5592.018079
666.666667,1000,5639.593576
238.636306,914,5681.812353
896.363636,1000,5729.128185
492.145015,1000,5775.497393
910.8,892,5816.336333
920.1,799,5854.401517
813.333333,1000,5933.805752
866.887417,1000,5981.549745
914.0,860,6022.33038
804.166667,1000,6067.580766
868.75,1000,6114.76623
909.8,902,6159.165477
810.0,1000,6236.568515
497.633136,1000,6282.968057
896.632997,1000,6329.469819
882.935154,1000,6375.46749
460.402685,1000,6421.919749
460.693642,1000,6469.259574
612.802768,1000,6546.461578
853.488372,1000,6591.982792
725.2149,1000,6637.978276
732.797428,1000,6684.168217
922.3,777,6719.275945
804.411765,1000,6766.080101
