#{"t_start": 1702865271.5279703, "env_id": "CarRacing-v2"}
r,l,t
-51.768489,1000,50.869596
-34.42623,1000,98.620179
-25.373134,1000,230.200803
-18.727915,1000,277.010316
-22.535211,1000,324.530283
-39.393939,1000,442.603363
-27.899687,1000,491.643788
-18.644068,1000,599.948558
-19.014085,1000,646.051665
-31.899642,1000,693.380625
-6.040268,1000,819.35377
-16.666667,1000,863.964993
-25.093633,1000,966.652521
53.605016,1000,1013.90159
-63.781046,946,1056.398271
-6.47482,1000,1162.629826
-14.179104,1000,1209.292028
-21.824104,1000,1336.780775
-21.232877,1000,1382.982185
75.159236,1000,1429.544029
-19.463087,1000,1551.864615
-13.793103,1000,1597.575861
-5.30303,1000,1726.559421
63.522013,1000,1774.177239
-6.614786,1000,1820.501606
71.929825,1000,1948.745445
-19.732441,1000,1994.778017
-16.083916,1000,2123.188005
-17.241379,1000,2168.671734
-19.298246,1000,2213.724764
35.888502,1000,2337.991441
6.106849,755,2371.044029
-18.644068,1000,2478.895179
-15.789474,1000,2526.013944
64.912281,1000,2572.898337
-18.439716,1000,2701.02782
-28.104575,1000,2746.836913
-10.15625,1000,2866.282729
-15.492958,1000,2911.450142
-18.215613,1000,2956.483674
-16.376307,1000,3059.597557
234.677419,1000,3106.342269
79.104478,1000,3233.687234
-12.878788,1000,3278.802239
0.775194,1000,3326.371027
188.888889,1000,3457.484254
50.0,1000,3503.850967
-20.689655,1000,3630.008017
170.833333,1000,3676.190863
221.678322,1000,3722.388892
-10.11236,1000,3846.658849
373.11828,1000,3893.95788
223.943662,1000,4024.94982
153.289474,1000,4072.280596
-6.47482,1000,4119.301803
297.637795,1000,4243.816397
0.571704,603,4269.561944
281.443299,1000,4315.027223
516.858238,1000,4423.452276
-29.26045,1000,4469.472552
88.679245,1000,4576.663887
334.944238,1000,4623.377096
133.918129,1000,4671.319106
80.921053,1000,4802.06098
202.721088,1000,4850.443515
413.108614,1000,4978.540724
98.979592,1000,5026.239512
150.847458,1000,5074.431222
33.828996,1000,5205.073829
535.687732,1000,5253.506164
207.086614,1000,5376.143843
797.119342,1000,5422.943806
257.692308,1000,5470.14783
252.583587,1000,5600.950482
304.844291,1000,5649.585734
323.84106,1000,5780.917959
204.347826,1000,5828.241814
417.460317,1000,5877.08849
256.115108,1000,6007.391484
221.533923,1000,6055.305979
191.021672,1000,6187.147665
-27.444795,1000,6233.895675
-26.282051,1000,6282.000231
287.959866,1000,6410.69736
15.511551,1000,6457.367967
350.847458,1000,6586.61794
269.565217,1000,6636.298573
285.620915,1000,6686.09802
34.275618,1000,6816.88146
262.007168,1000,6866.126521
56.48855,1000,6995.488679
40.57508,1000,7041.548779
249.206349,1000,7088.081982
15.830116,1000,7215.55017
600.996678,1000,7262.477588
291.459075,1000,7391.545438
157.142857,1000,7439.226051
275.862069,1000,7487.657061
58.940397,1000,7616.708355
130.769231,1000,7662.284823
256.495468,1000,7793.083119
49.090909,1000,7840.525734
0.591716,1000,7888.314508
25.448029,1000,7994.960676
54.639175,1000,8041.151087
431.772575,1000,8171.937252
281.443299,1000,8218.868924
276.175549,1000,8266.433659
382.014388,1000,8393.145978
116.216216,1000,8436.262487
117.081851,1000,8532.713574
215.412186,1000,8575.406455
120.630372,1000,8618.310634
370.383275,1000,8715.682686
36.363636,1000,8758.34592
59.468439,1000,8859.023404
85.654008,1000,8900.619392
-20.0,1000,8942.70189
287.692308,1000,9042.794754
303.278689,1000,9085.729393
178.571429,1000,9187.690454
131.454006,1000,9230.379137
347.530864,1000,9273.460267
250.157729,1000,9373.80485
76.895307,1000,9415.703916
688.104089,1000,9515.28639
56.146179,1000,9558.176653
264.620939,1000,9600.622385
41.342756,1000,9704.527794
49.635036,1000,9747.387022
296.039604,1000,9848.697754
210.580205,1000,9890.488039
300.0,1000,9933.252558
95.652174,1000,10033.566992
315.80756,1000,10076.219791
190.0,1000,10181.065811
150.783699,1000,10228.032588
226.007326,1000,10273.506123
90.972222,1000,10375.694924
324.908425,1000,10418.197609
335.986159,1000,10518.75357
287.959866,1000,10558.765779
344.852941,1000,10601.139537
349.056604,1000,10700.742197
28.630705,1000,10743.451836
354.268293,1000,10841.837708
515.635179,1000,10884.66657
68.582375,1000,10927.72963
217.406143,1000,11030.308667
38.97281,1000,11073.029215
76.470588,1000,11172.156965
222.147651,1000,11214.132238
257.377049,1000,11256.415725
158.278146,1000,11356.66592
573.611111,1000,11399.103454
274.045802,1000,11497.470632
74.72119,1000,11538.647322
455.555556,1000,11580.328875
172.413793,1000,11679.696354
302.826855,1000,11721.393223
280.794702,1000,11819.542508
77.777778,1000,11861.658657
322.297297,1000,11903.242825
221.55477,1000,12000.235233
33.574007,1000,12042.437544
190.849673,1000,12138.653117
671.73913,1000,12180.957247
12.676056,1000,12223.054755
